epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-05-07 10:43:56,46.9,0.528596,0.360065,1.00e-04,0.46002,0.446315,0.951221,0.904025,0.957963,0.537886,0.760779,0.081395,0.978479,0.689543,0.863744,0.098298,0.993057,0.629252,0.828149,0.08748,0.964401,0.794013,0.904025,0.113634,0.928171,0.41944,0.875427,0.044077,1
2,2026-05-07 10:44:39,43.2,0.271994,0.286632,9.99e-05,0.488767,0.747915,0.959668,0.877948,0.969734,0.593668,0.778126,0.094508,0.984612,0.735612,0.874781,0.107236,0.991874,0.646482,0.873318,0.099167,0.977476,0.888977,0.877948,0.11824,0.974612,0.54255,0.905719,0.795477,1
3,2026-05-07 10:45:24,43.4,0.203342,0.252178,9.98e-05,0.514414,0.772574,0.965605,0.860674,0.973149,0.649704,0.797354,0.096184,0.986375,0.779562,0.886882,0.108668,0.984135,0.732087,0.915761,0.10511,0.988631,0.851812,0.860674,0.120412,0.985488,0.61546,0.926917,0.775346,1
4,2026-05-07 10:46:08,43.4,0.175419,0.240401,9.96e-05,0.525132,0.78773,0.967417,0.907781,0.974111,0.661066,0.812104,0.102226,0.98687,0.788155,0.895981,0.115768,0.990364,0.766503,0.885404,0.125983,0.983407,0.826333,0.907781,0.122465,0.987634,0.625087,0.930073,0.808032,1
5,2026-05-07 10:46:52,43.4,0.159585,0.232226,9.94e-05,0.529155,0.795687,0.967143,0.885273,0.975414,0.645773,0.808046,0.133647,0.98754,0.776266,0.893447,0.152984,0.989501,0.7143,0.902894,0.173071,0.98559,0.870911,0.885273,0.157194,0.990997,0.617541,0.932633,0.836887,1
6,2026-05-07 10:47:37,43.4,0.147522,0.233065,9.91e-05,0.5235,0.793078,0.969334,0.917929,0.976252,0.628421,0.821015,0.121064,0.98797,0.753606,0.901398,0.136895,0.989401,0.829687,0.886402,0.153384,0.986547,0.72885,0.917929,0.1398,0.991892,0.596932,0.938837,0.843463,0
7,2026-05-07 10:48:21,43.4,0.136921,0.21622,9.88e-05,0.547541,0.809846,0.970448,0.904899,0.976582,0.678545,0.826168,0.13791,0.988139,0.79981,0.904504,0.157505,0.989099,0.782856,0.904835,0.16379,0.987186,0.832993,0.904899,0.157945,0.992259,0.64772,0.941376,0.840442,1
8,2026-05-07 10:49:05,43.4,0.13393,0.219578,9.84e-05,0.538291,0.809442,0.969413,0.892797,0.977149,0.666687,0.819183,0.129005,0.98843,0.79077,0.900262,0.148422,0.990409,0.728781,0.908652,0.162813,0.986464,0.883219,0.892797,0.151176,0.992399,0.634991,0.936658,0.856677,0
9,2026-05-07 10:49:48,43.5,0.132871,0.221068,9.80e-05,0.539751,0.81719,0.968592,0.894086,0.976995,0.651504,0.81435,0.153399,0.988351,0.779977,0.897251,0.174797,0.991272,0.722946,0.901571,0.181636,0.985453,0.868969,0.894086,0.180112,0.99264,0.628639,0.935955,0.886976,0
10,2026-05-07 10:50:32,43.5,0.131111,0.211988,9.76e-05,0.55264,0.806569,0.971226,0.899235,0.977979,0.67511,0.828119,0.154689,0.988855,0.798126,0.905681,0.173716,0.989266,0.764261,0.912946,0.178387,0.988449,0.85007,0.899235,0.173815,0.993642,0.647055,0.942033,0.830619,1
11,2026-05-07 10:51:16,43.3,0.134065,0.208338,9.71e-05,0.545979,0.810688,0.971573,0.928357,0.978124,0.670667,0.833558,0.133712,0.988929,0.794647,0.908942,0.150449,0.992147,0.813857,0.891079,0.154224,0.985737,0.791643,0.928357,0.152597,0.993057,0.644465,0.941515,0.846082,0
12,2026-05-07 10:52:00,43.6,0.122181,0.196798,9.65e-05,0.55995,0.819251,0.97323,0.917066,0.979669,0.682372,0.840761,0.156717,0.98972,0.802876,0.913244,0.175073,0.990655,0.803753,0.910263,0.175786,0.98879,0.817538,0.917066,0.1773,0.994012,0.654564,0.94461,0.858578,1
13,2026-05-07 10:52:44,43.5,0.125433,0.195493,9.59e-05,0.560716,0.827197,0.974142,0.921953,0.980551,0.682545,0.84549,0.154115,0.990172,0.798483,0.915972,0.171199,0.991529,0.804551,0.910796,0.178768,0.988821,0.818142,0.921953,0.172329,0.994026,0.655372,0.945034,0.881186,1
14,2026-05-07 10:53:29,43.6,0.123566,0.283537,9.53e-05,0.483265,0.638909,0.92179,0.902705,0.915679,0.674945,0.643243,0.131605,0.955606,0.793556,0.781244,0.155317,0.987148,0.810897,0.69166,0.13855,0.92659,0.794406,0.902705,0.183777,0.877666,0.649926,0.817513,0.449288,0
15,2026-05-07 10:54:12,43.4,0.117947,0.232813,9.46e-05,0.566423,0.823351,0.97519,0.914816,0.982134,0.691374,0.850813,0.157083,0.99098,0.809241,0.919127,0.175337,0.991202,0.789242,0.92422,0.177766,0.99076,0.846958,0.914816,0.176034,0.993359,0.66412,0.945074,0.860858,1
16,2026-05-07 10:54:56,43.5,0.11829,0.196832,9.39e-05,0.555223,0.819881,0.974366,0.928512,0.981558,0.678141,0.846202,0.141325,0.990687,0.799257,0.916316,0.157596,0.994395,0.773897,0.905265,0.164467,0.987011,0.845801,0.928512,0.16155,0.993539,0.651622,0.941667,0.866355,0
17,2026-05-07 10:55:40,43.4,0.113195,0.187022,9.31e-05,0.569449,0.82961,0.976332,0.916655,0.983612,0.691928,0.85687,0.159547,0.991733,0.810303,0.922622,0.176922,0.991847,0.785468,0.929392,0.176736,0.99162,0.852515,0.916655,0.180887,0.994861,0.659121,0.945298,0.884411,1
18,2026-05-07 10:56:24,43.5,0.110655,0.193923,9.23e-05,0.567046,0.824854,0.976604,0.919011,0.984193,0.684638,0.856972,0.159527,0.992029,0.804399,0.922624,0.17663,0.992626,0.775922,0.927165,0.184502,0.991434,0.854495,0.919011,0.172752,0.995169,0.655841,0.945547,0.873173,0
19,2026-05-07 10:57:08,43.4,0.108229,0.207839,9.14e-05,0.55812,0.824745,0.975698,0.907718,0.982231,0.673986,0.852822,0.147552,0.991029,0.792066,0.9203,0.166448,0.987246,0.827442,0.934002,0.181397,0.994847,0.778148,0.907718,0.164657,0.994342,0.64588,0.94741,0.880946,0
20,2026-05-07 10:57:51,43.5,0.110729,0.192644,9.05e-05,0.57018,0.816928,0.976924,0.90622,0.984601,0.686576,0.85826,0.165703,0.992236,0.805913,0.923374,0.180932,0.990831,0.770213,0.942019,0.179292,0.993646,0.862915,0.90622,0.184216,0.995772,0.652246,0.945039,0.853499,1
21,2026-05-07 10:58:36,43.5,0.11133,0.18325,8.96e-05,0.572103,0.827497,0.977441,0.915148,0.984357,0.689019,0.862338,0.164953,0.992112,0.803454,0.925816,0.180497,0.989976,0.805797,0.937382,0.180516,0.994259,0.818091,0.915148,0.182402,0.995823,0.65631,0.949193,0.876989,1
