epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-05-07 11:43:36,28.3,0.549134,0.395298,1.00e-04,0.410706,0.592623,0.929696,0.918288,0.93142,0.468394,0.696266,0.067457,0.964257,0.619185,0.82057,0.087345,0.995094,0.573371,0.743457,0.06869,0.935721,0.724243,0.918288,0.121363,0.828797,0.30347,0.773028,0.70137,1
2,2026-05-07 11:44:04,27.8,0.294671,0.29099,9.99e-05,0.478278,0.712447,0.956397,0.902073,0.963203,0.577752,0.772536,0.084547,0.981213,0.719523,0.871284,0.101471,0.991916,0.685673,0.843772,0.095241,0.970793,0.789705,0.902073,0.123748,0.95997,0.516365,0.902726,0.71825,1
3,2026-05-07 11:44:32,27.8,0.20901,0.260217,9.98e-05,0.503206,0.767587,0.962773,0.896787,0.970151,0.62234,0.791556,0.095724,0.984829,0.7579,0.883213,0.10832,0.990813,0.712109,0.871066,0.098271,0.978929,0.834647,0.896787,0.121309,0.979544,0.576721,0.917483,0.808557,1
4,2026-05-07 11:45:00,27.8,0.186074,0.248603,9.96e-05,0.509937,0.768661,0.964886,0.899494,0.971981,0.629662,0.799444,0.100707,0.985772,0.764003,0.888114,0.113749,0.989791,0.746657,0.87795,0.113221,0.981796,0.804734,0.899494,0.121751,0.984305,0.590081,0.923035,0.792866,1
5,2026-05-07 11:45:28,27.9,0.173436,0.235095,9.94e-05,0.522177,0.783173,0.96708,0.905986,0.973553,0.641283,0.808861,0.116386,0.986582,0.771953,0.893969,0.132347,0.98871,0.790516,0.883097,0.145552,0.984469,0.77475,0.905986,0.138887,0.986223,0.604734,0.928972,0.815812,1
6,2026-05-07 11:45:56,27.9,0.155414,0.232782,9.91e-05,0.524329,0.773389,0.967043,0.896893,0.97405,0.65394,0.808678,0.110368,0.986838,0.781177,0.893854,0.12649,0.988897,0.763425,0.891829,0.129236,0.984794,0.823329,0.896893,0.136652,0.987855,0.620376,0.930679,0.769112,1
7,2026-05-07 11:46:24,27.9,0.154037,0.22486,9.88e-05,0.529256,0.783802,0.967459,0.887301,0.974624,0.655177,0.808675,0.123917,0.987133,0.782885,0.893758,0.142534,0.988327,0.743195,0.901079,0.144261,0.985946,0.844356,0.887301,0.150137,0.988244,0.622419,0.930969,0.798018,1
8,2026-05-07 11:46:52,28.1,0.146309,0.219726,9.84e-05,0.531917,0.789386,0.968317,0.903847,0.97518,0.644952,0.81459,0.136208,0.987419,0.773237,0.897443,0.156069,0.989809,0.773735,0.891985,0.156834,0.985044,0.800234,0.903847,0.162334,0.98941,0.609498,0.933012,0.825647,1
9,2026-05-07 11:47:21,28.1,0.145158,0.220085,9.80e-05,0.53112,0.79314,0.968722,0.911024,0.975342,0.643572,0.817504,0.132285,0.987502,0.772454,0.899209,0.152434,0.9897,0.798285,0.888529,0.176304,0.985321,0.772117,0.911024,0.151676,0.989337,0.610131,0.932955,0.836333,0
10,2026-05-07 11:47:49,28.0,0.143676,0.210868,9.76e-05,0.542392,0.799025,0.969578,0.891975,0.976523,0.670652,0.818538,0.137987,0.988109,0.794636,0.899814,0.157671,0.988797,0.757244,0.90858,0.169169,0.987424,0.853251,0.891975,0.162865,0.991124,0.631443,0.935819,0.829814,1
11,2026-05-07 11:48:17,28.1,0.132507,0.213191,9.71e-05,0.53905,0.807999,0.969517,0.892773,0.977347,0.660508,0.819241,0.137401,0.988532,0.787168,0.900237,0.158085,0.990193,0.731601,0.908689,0.172361,0.986877,0.872321,0.892773,0.160326,0.990905,0.622704,0.933723,0.867569,0
