epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-05-07 13:50:17,80.5,0.548746,0.54884,1.00e-04,0.258136,0.317512,0.918622,0.900576,0.944033,0.00396,0.706066,0.064382,0.971044,0.007876,0.825825,0.085203,0.989896,0.047073,0.765582,0.065559,0.953055,0.00438,0.900576,0.122677,0.873696,0.084413,0.8282,0.039925,1
2,2026-05-07 13:51:38,79.6,0.348871,0.310991,9.99e-05,0.46182,0.481585,0.969596,0.9384,0.984684,0.504389,0.827593,0.053477,0.992279,0.652243,0.905133,0.067925,0.993262,0.786647,0.876235,0.103265,0.9913,0.607929,0.9384,0.057034,0.983951,0.471518,0.913491,0.059748,1
3,2026-05-07 13:53:05,79.0,0.250524,0.24388,9.98e-05,0.526593,0.661314,0.974794,0.897213,0.987233,0.61787,0.850946,0.110962,0.993572,0.749628,0.919067,0.127723,0.992087,0.710846,0.943859,0.142296,0.995064,0.838546,0.897213,0.129622,0.99262,0.582332,0.935893,0.465719,1
4,2026-05-07 13:54:29,79.1,0.205504,0.233352,9.96e-05,0.540907,0.729401,0.974611,0.878992,0.983768,0.654153,0.846862,0.121706,0.991809,0.778229,0.916707,0.141198,0.985456,0.770888,0.959241,0.170547,0.998259,0.822442,0.878992,0.143913,0.989189,0.621411,0.937765,0.629026,1
5,2026-05-07 13:55:53,79.1,0.176177,0.225184,9.94e-05,0.542996,0.745952,0.979537,0.929821,0.990985,0.651914,0.875517,0.101558,0.995471,0.778998,0.933264,0.112206,0.995739,0.766561,0.937851,0.102923,0.995203,0.814663,0.929821,0.124305,0.99538,0.621756,0.941064,0.675036,1
6,2026-05-07 13:57:17,79.0,0.169731,0.222526,9.91e-05,0.546483,0.764941,0.977362,0.889815,0.9868,0.673581,0.860277,0.105591,0.993352,0.795654,0.924535,0.115904,0.98812,0.765832,0.962787,0.119497,0.998646,0.845508,0.889815,0.123991,0.994855,0.64411,0.944633,0.706078,1
7,2026-05-07 13:58:41,79.2,0.158738,0.220161,9.88e-05,0.544907,0.672638,0.977881,0.917498,0.991708,0.624853,0.869725,0.140143,0.995836,0.751407,0.929962,0.160991,0.99719,0.708878,0.944109,0.153246,0.994486,0.824245,0.917498,0.174263,0.995789,0.598404,0.940118,0.47939,0
8,2026-05-07 14:00:01,79.2,0.151357,0.215504,9.84e-05,0.549335,0.758815,0.979222,0.920221,0.989346,0.646551,0.873723,0.12773,0.994641,0.773832,0.932277,0.145796,0.991675,0.781303,0.945397,0.170963,0.997631,0.78136,0.920221,0.142226,0.995273,0.627068,0.943925,0.705451,1
9,2026-05-07 14:01:25,79.1,0.149474,0.20504,9.80e-05,0.56241,0.818074,0.979465,0.901008,0.989367,0.666329,0.871243,0.149658,0.994652,0.789457,0.930858,0.169002,0.991049,0.750742,0.96363,0.18077,0.998286,0.854822,0.901008,0.168091,0.99588,0.633686,0.945272,0.875262,1
10,2026-05-07 14:02:49,79.1,0.157798,0.208063,9.76e-05,0.560091,0.803786,0.980492,0.927129,0.990582,0.655931,0.881122,0.143219,0.995266,0.781795,0.936498,0.160782,0.99265,0.802969,0.94694,0.16868,0.997899,0.780533,0.927129,0.1611,0.996662,0.637765,0.946493,0.827098,0
