epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-05-07 12:28:06,43.2,0.58007,0.462723,6.00e-05,0.353384,0.553606,0.933831,0.958386,0.947215,0.305495,0.690239,0.064416,0.972827,0.441242,0.81578,0.078913,0.998137,0.604605,0.712772,0.083868,0.948879,0.379755,0.958386,0.080778,0.887926,0.338536,0.794585,0.527696,1
2,2026-05-07 12:28:49,42.5,0.379285,0.35279,5.99e-05,0.461091,0.706932,0.95859,0.916559,0.970136,0.52831,0.780791,0.074171,0.984826,0.677082,0.876501,0.08722,0.996365,0.627086,0.841643,0.090172,0.973574,0.767964,0.916559,0.089245,0.970214,0.479987,0.901676,0.739133,1
3,2026-05-07 12:29:32,42.6,0.280478,0.294647,5.99e-05,0.490264,0.729861,0.964856,0.89291,0.976932,0.571819,0.802214,0.09676,0.988323,0.715754,0.889899,0.108813,0.993697,0.642712,0.888498,0.102618,0.983016,0.833086,0.89291,0.117667,0.983147,0.525771,0.915812,0.748,1
4,2026-05-07 12:30:15,42.4,0.222687,0.267673,5.98e-05,0.507688,0.757416,0.970254,0.911359,0.980152,0.606164,0.827857,0.089044,0.989969,0.742126,0.90545,0.099247,0.991695,0.726197,0.900412,0.094799,0.988255,0.777496,0.911359,0.104706,0.990095,0.565753,0.93055,0.775944,1
5,2026-05-07 12:30:58,42.5,0.194829,0.255722,5.96e-05,0.508671,0.764562,0.971109,0.925295,0.980715,0.602281,0.831499,0.092233,0.990256,0.739741,0.907621,0.103365,0.992181,0.771522,0.8914,0.108003,0.988343,0.729839,0.925295,0.10721,0.990687,0.568339,0.932282,0.793067,1
6,2026-05-07 12:31:41,42.6,0.173053,0.240934,5.95e-05,0.527599,0.775685,0.972649,0.904379,0.981932,0.64402,0.836386,0.102392,0.990877,0.77486,0.910549,0.112518,0.991932,0.729794,0.917641,0.106105,0.98983,0.845404,0.904379,0.119993,0.992719,0.60283,0.93451,0.789717,1
7,2026-05-07 12:32:25,42.5,0.164279,0.237809,5.93e-05,0.531009,0.783593,0.973625,0.909024,0.982397,0.64913,0.841132,0.102764,0.991114,0.778334,0.913325,0.112742,0.991452,0.758777,0.918586,0.10656,0.990781,0.816675,0.909024,0.119861,0.993176,0.610792,0.936787,0.803201,1
8,2026-05-07 12:33:08,42.6,0.152538,0.233315,5.91e-05,0.533118,0.78995,0.973659,0.921534,0.982227,0.651614,0.843485,0.104256,0.991027,0.780312,0.914723,0.115385,0.993546,0.755809,0.908726,0.120275,0.988527,0.822752,0.921534,0.119795,0.993311,0.613157,0.937626,0.819067,1
9,2026-05-07 12:33:51,42.5,0.146924,0.224433,5.88e-05,0.540668,0.798011,0.974887,0.920117,0.983293,0.66211,0.849212,0.110682,0.99157,0.788932,0.918074,0.123262,0.993905,0.755766,0.916843,0.1311,0.989252,0.842381,0.920117,0.128064,0.993278,0.626143,0.938638,0.829251,1
10,2026-05-07 12:34:34,42.7,0.135515,0.214468,5.86e-05,0.547621,0.794164,0.97489,0.914497,0.983651,0.661585,0.849504,0.131773,0.991753,0.787262,0.918315,0.146663,0.993007,0.748878,0.922972,0.154407,0.990506,0.846722,0.914497,0.150457,0.994352,0.625966,0.940115,0.816412,1
11,2026-05-07 12:35:18,42.8,0.133959,0.204682,5.83e-05,0.557418,0.808627,0.976208,0.916598,0.984181,0.668775,0.855726,0.147755,0.992022,0.792207,0.921945,0.164664,0.991312,0.788163,0.927989,0.167334,0.992736,0.80966,0.916598,0.165649,0.994736,0.636125,0.943317,0.84644,1
12,2026-05-07 12:36:01,42.7,0.136588,0.204457,5.79e-05,0.558079,0.788697,0.976395,0.922782,0.984617,0.667405,0.857357,0.149474,0.992244,0.792067,0.922927,0.165898,0.992849,0.792342,0.923693,0.165119,0.991644,0.805575,0.922782,0.169577,0.99428,0.627502,0.942476,0.796113,1
13,2026-05-07 12:36:45,42.8,0.125772,0.202851,5.76e-05,0.557121,0.791927,0.975324,0.909753,0.984699,0.660165,0.850104,0.161093,0.992286,0.786177,0.918552,0.178595,0.994222,0.726745,0.928423,0.185823,0.990361,0.876723,0.909753,0.182245,0.994047,0.624628,0.938167,0.812986,0
14,2026-05-07 12:37:27,42.8,0.125566,0.199252,5.72e-05,0.564568,0.800995,0.976813,0.933562,0.984881,0.673243,0.86098,0.159482,0.992378,0.795254,0.924951,0.176389,0.994975,0.779268,0.917073,0.17891,0.989798,0.825499,0.933562,0.176749,0.994369,0.636162,0.942792,0.824032,1
15,2026-05-07 12:38:11,42.9,0.116045,0.190662,5.68e-05,0.570744,0.796741,0.97729,0.92032,0.985517,0.675714,0.861017,0.175501,0.992702,0.798395,0.924985,0.195068,0.993373,0.775535,0.930565,0.200987,0.992034,0.839894,0.92032,0.194341,0.994799,0.641856,0.942689,0.805678,1
16,2026-05-07 12:38:55,42.9,0.114609,0.188383,5.64e-05,0.574619,0.81556,0.97769,0.917808,0.985759,0.680798,0.862629,0.180431,0.992824,0.801263,0.925886,0.202889,0.992985,0.775238,0.934986,0.217608,0.992666,0.84577,0.917808,0.201585,0.995229,0.647151,0.943981,0.85555,1
17,2026-05-07 12:39:38,42.9,0.113506,0.189491,5.59e-05,0.570021,0.813849,0.977265,0.909842,0.985822,0.677938,0.859325,0.172799,0.992856,0.799015,0.923863,0.190888,0.993087,0.749601,0.939442,0.202093,0.992628,0.87714,0.909842,0.190898,0.995246,0.645897,0.942482,0.853168,0
18,2026-05-07 12:40:21,42.8,0.11239,0.190287,5.54e-05,0.570111,0.827079,0.978585,0.932331,0.98622,0.679563,0.869502,0.161268,0.993058,0.80087,0.92991,0.176838,0.993593,0.802069,0.928069,0.182788,0.992526,0.812547,0.932331,0.174852,0.995475,0.644556,0.946728,0.889953,0
19,2026-05-07 12:41:04,42.7,0.116765,0.183209,5.49e-05,0.574454,0.825095,0.977874,0.92114,0.985897,0.681799,0.864766,0.176797,0.992895,0.802292,0.927129,0.195621,0.993328,0.776535,0.933988,0.200568,0.992464,0.845584,0.92114,0.19552,0.995268,0.647872,0.945169,0.882243,0
20,2026-05-07 12:41:46,42.9,0.11091,0.186217,5.44e-05,0.569335,0.820438,0.977185,0.909178,0.986232,0.671038,0.858059,0.178909,0.993064,0.792995,0.923049,0.198715,0.993652,0.741129,0.938584,0.225426,0.99248,0.874365,0.909178,0.195087,0.995224,0.63993,0.941462,0.879923,0
21,2026-05-07 12:42:29,42.9,0.108014,0.182531,5.38e-05,0.57983,0.832523,0.979073,0.935089,0.986253,0.686715,0.872344,0.180433,0.993076,0.805795,0.931543,0.200819,0.993042,0.834128,0.928582,0.209585,0.993112,0.790319,0.935089,0.198468,0.995649,0.656428,0.948862,0.892278,1
22,2026-05-07 12:43:13,42.9,0.105806,0.180448,5.32e-05,0.580228,0.729899,0.978125,0.919063,0.986438,0.684214,0.864882,0.191588,0.993169,0.803678,0.927146,0.214839,0.994547,0.760468,0.936316,0.215461,0.991797,0.86978,0.919063,0.223829,0.995184,0.64981,0.943005,0.596881,1
23,2026-05-07 12:43:56,42.9,0.105052,0.178821,5.26e-05,0.584406,0.803563,0.978911,0.92821,0.986623,0.693956,0.87057,0.188692,0.993263,0.810559,0.930468,0.209181,0.994249,0.784888,0.933334,0.214571,0.992279,0.851186,0.92821,0.215057,0.995439,0.65787,0.946408,0.806411,1
24,2026-05-07 12:44:40,43.0,0.105381,0.178768,5.20e-05,0.5847,0.837,0.97946,0.931762,0.986867,0.695953,0.874025,0.184123,0.993386,0.81292,0.932504,0.204001,0.994437,0.791954,0.933807,0.2241,0.992341,0.848149,0.931762,0.20032,0.995488,0.660407,0.948075,0.902518,1
25,2026-05-07 12:45:24,42.9,0.099438,0.180886,5.14e-05,0.579965,0.836,0.979016,0.923651,0.986819,0.691014,0.870149,0.178732,0.993362,0.808563,0.930214,0.198709,0.994015,0.778432,0.937744,0.206966,0.992712,0.858336,0.923651,0.198047,0.995833,0.6592,0.946699,0.902103,0
26,2026-05-07 12:46:07,42.9,0.109284,0.178507,5.07e-05,0.583019,0.828755,0.979788,0.938887,0.987032,0.695065,0.876428,0.177565,0.99347,0.8121,0.933885,0.196082,0.994383,0.820916,0.929549,0.215619,0.992561,0.816441,0.938887,0.194211,0.995348,0.662867,0.948919,0.874478,0
27,2026-05-07 12:46:50,42.8,0.104006,0.177105,5.00e-05,0.582712,0.835894,0.979571,0.931928,0.987206,0.695009,0.874451,0.178676,0.993559,0.811494,0.932689,0.196224,0.994712,0.79141,0.934099,0.201414,0.99241,0.847341,0.931928,0.196287,0.995419,0.662992,0.947956,0.896735,0
28,2026-05-07 12:47:32,42.9,0.099734,0.173115,4.93e-05,0.584675,0.84324,0.98004,0.939103,0.987317,0.698307,0.877489,0.178228,0.993615,0.814605,0.934479,0.195899,0.994796,0.808922,0.930438,0.22051,0.992437,0.833365,0.939103,0.192244,0.995516,0.669358,0.949137,0.911225,0
29,2026-05-07 12:48:15,42.8,0.101749,0.170684,4.86e-05,0.586801,0.837921,0.980036,0.933199,0.987481,0.693432,0.87562,0.19135,0.993698,0.810477,0.933296,0.213391,0.994028,0.813272,0.934241,0.224426,0.99337,0.824297,0.933199,0.217531,0.995823,0.664457,0.948924,0.900382,1
30,2026-05-07 12:48:59,42.9,0.102193,0.172603,4.78e-05,0.587709,0.809371,0.980097,0.946409,0.987151,0.689837,0.878075,0.195214,0.993531,0.806868,0.934807,0.217218,0.994584,0.844091,0.924008,0.227566,0.992482,0.78252,0.946409,0.223227,0.995743,0.662013,0.949895,0.816204,1
31,2026-05-07 12:49:42,42.9,0.101783,0.17184,4.71e-05,0.587581,0.852735,0.980128,0.933432,0.987322,0.698251,0.876992,0.187501,0.993617,0.813323,0.934137,0.20873,0.99406,0.804449,0.935541,0.227459,0.993177,0.838064,0.933432,0.200942,0.995875,0.672538,0.95006,0.935607,0
32,2026-05-07 12:50:25,42.8,0.103734,0.173765,4.63e-05,0.582695,0.841395,0.980183,0.93017,0.987503,0.698312,0.876422,0.17335,0.993709,0.812809,0.933712,0.18776,0.993753,0.804714,0.93818,0.212841,0.993666,0.837755,0.93017,0.183977,0.995997,0.66952,0.949593,0.905071,0
33,2026-05-07 12:51:08,42.9,0.094738,0.169528,4.55e-05,0.589502,0.846312,0.98047,0.940458,0.987342,0.703904,0.879357,0.185247,0.993627,0.816868,0.935499,0.205662,0.995305,0.807129,0.93112,0.237184,0.991957,0.839743,0.940458,0.20031,0.995534,0.673856,0.950237,0.914842,1
34,2026-05-07 12:51:52,42.9,0.095934,0.167217,4.47e-05,0.589181,0.851248,0.980255,0.933082,0.987474,0.703075,0.877575,0.186893,0.993694,0.816912,0.934424,0.205458,0.99437,0.798873,0.936506,0.231198,0.993021,0.851366,0.933082,0.197972,0.996043,0.676876,0.950006,0.926861,0
35,2026-05-07 12:52:35,42.9,0.094979,0.165888,4.39e-05,0.590105,0.852288,0.980057,0.942313,0.987092,0.701861,0.876462,0.19199,0.993501,0.815582,0.933802,0.213149,0.996062,0.801441,0.926132,0.228587,0.990956,0.846173,0.942313,0.210361,0.995115,0.673191,0.948909,0.934764,1
36,2026-05-07 12:53:19,43.0,0.095511,0.168561,4.31e-05,0.58786,0.841183,0.980395,0.948082,0.987355,0.686782,0.879921,0.196876,0.993634,0.804401,0.935894,0.218915,0.994934,0.842262,0.924539,0.225814,0.992339,0.784911,0.948082,0.225435,0.99565,0.65456,0.950913,0.918075,0
37,2026-05-07 12:54:02,42.9,0.095662,0.168651,4.22e-05,0.588316,0.849185,0.980918,0.945635,0.987724,0.697512,0.881834,0.185603,0.993821,0.813053,0.936934,0.204381,0.995039,0.834561,0.929014,0.230523,0.992608,0.807255,0.945635,0.198414,0.995927,0.668116,0.951479,0.92796,0
38,2026-05-07 12:54:44,42.8,0.094182,0.16641,4.14e-05,0.593313,0.845466,0.980601,0.942182,0.987694,0.701458,0.880303,0.198179,0.993806,0.815635,0.936036,0.220502,0.995461,0.81339,0.930649,0.238503,0.992158,0.833845,0.942182,0.215732,0.995638,0.677715,0.950774,0.907909,1
39,2026-05-07 12:55:28,43.0,0.093619,0.16364,4.05e-05,0.594341,0.846518,0.980589,0.931729,0.987787,0.702571,0.87857,0.201882,0.993853,0.816501,0.935004,0.224043,0.994214,0.80262,0.938995,0.231795,0.993494,0.846576,0.931729,0.226542,0.996149,0.677105,0.951049,0.9114,1
40,2026-05-07 12:56:12,42.9,0.091136,0.162116,3.96e-05,0.599041,0.854999,0.981336,0.94232,0.987963,0.709325,0.884061,0.203735,0.993942,0.821137,0.938185,0.225444,0.994424,0.832379,0.934607,0.235529,0.993462,0.82337,0.94232,0.223841,0.996018,0.686853,0.95275,0.925394,1
41,2026-05-07 12:56:56,42.9,0.091867,0.164831,3.87e-05,0.593115,0.827748,0.980677,0.934307,0.987681,0.704961,0.879242,0.195142,0.993799,0.817898,0.935421,0.21568,0.99476,0.802047,0.937215,0.229227,0.992842,0.849348,0.934307,0.215384,0.995744,0.680237,0.950744,0.852263,0
42,2026-05-07 12:57:39,43.0,0.090967,0.16346,3.78e-05,0.594369,0.828677,0.981078,0.942459,0.987974,0.703827,0.883325,0.195957,0.993948,0.816684,0.937812,0.216534,0.994894,0.823426,0.933768,0.227285,0.993003,0.825029,0.942459,0.219061,0.995929,0.679671,0.951881,0.854478,0
43,2026-05-07 12:58:21,42.8,0.087392,0.164617,3.69e-05,0.593943,0.860023,0.981019,0.936482,0.987834,0.705751,0.882068,0.194008,0.993877,0.819087,0.937105,0.215983,0.994103,0.81353,0.938272,0.241026,0.993652,0.839234,0.936482,0.20611,0.996369,0.682652,0.952766,0.944652,0
44,2026-05-07 12:59:04,42.7,0.092291,0.168311,3.60e-05,0.588171,0.850024,0.980771,0.929654,0.987906,0.708035,0.879547,0.17693,0.993913,0.820524,0.935604,0.193406,0.994285,0.794998,0.942348,0.211188,0.993543,0.865491,0.929654,0.187994,0.996027,0.685644,0.951121,0.913305,0
45,2026-05-07 12:59:47,42.9,0.091792,0.164838,3.51e-05,0.593902,0.821687,0.980617,0.93909,0.987966,0.698977,0.879335,0.203396,0.993943,0.812519,0.935451,0.224687,0.995479,0.805711,0.932453,0.23247,0.992415,0.834932,0.93909,0.223592,0.995698,0.676211,0.950304,0.838545,0
46,2026-05-07 13:00:30,42.8,0.086219,0.174086,3.42e-05,0.586093,0.845159,0.981419,0.939612,0.988223,0.709,0.88368,0.165599,0.994074,0.821563,0.937975,0.176873,0.995063,0.814373,0.937103,0.201531,0.993088,0.846239,0.939612,0.175012,0.996073,0.686649,0.952206,0.896623,0
47,2026-05-07 13:01:13,42.8,0.089549,0.162247,3.33e-05,0.59569,0.852581,0.981637,0.941564,0.988133,0.713025,0.885497,0.188546,0.994028,0.824458,0.939015,0.205607,0.994601,0.831188,0.936965,0.220388,0.993457,0.831501,0.941564,0.200338,0.996108,0.688418,0.953384,0.91594,0
48,2026-05-07 13:01:55,42.8,0.089733,0.166191,3.24e-05,0.591232,0.852305,0.980545,0.930022,0.987986,0.702986,0.877616,0.193094,0.993954,0.815911,0.934407,0.212469,0.99552,0.775214,0.939752,0.229017,0.992394,0.882078,0.930022,0.204163,0.995781,0.680586,0.949656,0.926674,0
49,2026-05-07 13:02:38,42.8,0.083888,0.16415,3.14e-05,0.59449,0.853424,0.981268,0.942147,0.988111,0.708369,0.882731,0.192371,0.994017,0.820785,0.9374,0.21198,0.995541,0.813533,0.933281,0.225882,0.992499,0.843758,0.942147,0.20668,0.995843,0.685857,0.951826,0.922589,0
50,2026-05-07 13:03:21,43.0,0.086147,0.161198,3.05e-05,0.598474,0.857293,0.981714,0.943568,0.988209,0.713498,0.886342,0.195583,0.994066,0.824226,0.939505,0.216035,0.995017,0.828974,0.935996,0.239236,0.993119,0.834436,0.943568,0.208734,0.995958,0.689648,0.953246,0.928985,0
51,2026-05-07 13:04:04,42.9,0.09068,0.164839,2.96e-05,0.594697,0.853721,0.981343,0.939368,0.988191,0.707154,0.883805,0.193133,0.994057,0.819824,0.938048,0.212708,0.995026,0.815805,0.937378,0.237813,0.993093,0.840464,0.939368,0.207824,0.99599,0.68306,0.952496,0.925606,0
52,2026-05-07 13:04:47,42.9,0.089622,0.160615,2.86e-05,0.598404,0.857906,0.981838,0.941771,0.988278,0.712393,0.88694,0.195879,0.994102,0.823304,0.939876,0.215328,0.994234,0.833962,0.938399,0.226718,0.99397,0.825797,0.941771,0.209042,0.996208,0.691235,0.954295,0.92819,0
53,2026-05-07 13:05:30,42.9,0.089385,0.162581,2.77e-05,0.597553,0.856251,0.981613,0.939516,0.988276,0.71286,0.885142,0.194658,0.994101,0.823481,0.938799,0.213863,0.995109,0.808712,0.938613,0.226171,0.993096,0.854085,0.939516,0.207959,0.996032,0.688064,0.952818,0.92787,0
54,2026-05-07 13:06:13,42.9,0.087876,0.162478,2.68e-05,0.597309,0.857383,0.981821,0.944668,0.988353,0.712767,0.886892,0.19227,0.99414,0.823072,0.939774,0.210891,0.995048,0.830309,0.935473,0.231303,0.993234,0.83115,0.944668,0.202213,0.996011,0.693049,0.953715,0.925387,0
55,2026-05-07 13:06:56,42.9,0.079365,0.157231,2.59e-05,0.60336,0.849843,0.981969,0.942478,0.988386,0.717427,0.887531,0.205122,0.994156,0.826952,0.940143,0.225404,0.994887,0.827915,0.938282,0.236492,0.993427,0.83917,0.942478,0.220793,0.996158,0.693888,0.954294,0.901347,1
56,2026-05-07 13:07:39,42.9,0.085548,0.164425,2.50e-05,0.595709,0.842324,0.981743,0.953035,0.988144,0.709867,0.887221,0.19004,0.994034,0.822075,0.939989,0.208417,0.995973,0.847026,0.927933,0.233222,0.992104,0.815745,0.953035,0.206224,0.995877,0.688248,0.95318,0.885543,0
