epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-05-05 17:11:20,48.0,1.154015,0.680184,1.00e-04,0.20997,0.292711,0.887561,0.92381,0.902972,0.014669,0.591292,0.02395,0.948631,0.028704,0.740925,0.039923,0.98619,0.073307,0.622885,0.055104,0.914408,0.019003,0.92381,0.047542,0.804994,0.116475,0.730614,0.031045,1
2,2026-05-05 17:12:08,48.2,0.405278,0.378279,9.99e-05,0.379879,0.425947,0.946699,0.875881,0.964242,0.317255,0.730732,0.09165,0.98173,0.465204,0.843946,0.108261,0.982826,0.678027,0.81796,0.096674,0.980673,0.381513,0.875881,0.125596,0.960559,0.335761,0.865889,0.076189,1
3,2026-05-05 17:12:58,47.9,0.287322,0.411733,9.98e-05,0.405216,0.438729,0.938362,0.916283,0.947301,0.425639,0.698097,0.091913,0.972766,0.574183,0.820354,0.105217,0.990056,0.725717,0.748092,0.112817,0.956323,0.517503,0.916283,0.112267,0.918528,0.398851,0.834983,0.082353,1
4,2026-05-05 17:13:47,47.2,0.207725,0.312798,9.96e-05,0.447007,0.545919,0.955125,0.940297,0.963754,0.487275,0.756601,0.097146,0.981491,0.628375,0.859203,0.109297,0.992932,0.77215,0.79609,0.106289,0.970418,0.565477,0.940297,0.114221,0.950753,0.434099,0.878081,0.325577,1
5,2026-05-05 17:14:36,48.0,0.185578,0.378128,9.94e-05,0.453933,0.535962,0.94691,0.877803,0.954008,0.546578,0.713994,0.101228,0.976336,0.687713,0.82873,0.1118,0.986071,0.70329,0.792285,0.103956,0.966977,0.71167,0.877803,0.121125,0.928847,0.503456,0.851689,0.252742,1
6,2026-05-05 17:15:24,47.1,0.168788,0.245252,9.91e-05,0.508152,0.734057,0.971586,0.94078,0.97999,0.587187,0.830465,0.106804,0.989886,0.715273,0.906796,0.121096,0.992915,0.852386,0.876681,0.165451,0.986883,0.661308,0.94078,0.127775,0.987348,0.555249,0.928543,0.71838,1
7,2026-05-05 17:16:12,46.7,0.156567,0.341999,9.88e-05,0.498816,0.532058,0.952765,0.906998,0.959446,0.636945,0.75554,0.103963,0.979236,0.769869,0.858379,0.119371,0.993849,0.714627,0.820061,0.112553,0.965178,0.857491,0.906998,0.130294,0.956064,0.590961,0.884058,0.121155,0
8,2026-05-05 17:16:58,45.2,0.148034,0.247031,9.84e-05,0.524987,0.672352,0.969705,0.911614,0.976464,0.646329,0.817476,0.111156,0.988068,0.773052,0.897585,0.124129,0.989905,0.814099,0.886234,0.159855,0.98626,0.768236,0.911614,0.124318,0.972754,0.613422,0.918547,0.485088,1
9,2026-05-05 17:17:44,45.3,0.138144,0.20903,9.80e-05,0.557588,0.799874,0.977987,0.940097,0.985383,0.674642,0.866864,0.131258,0.992633,0.794735,0.928406,0.147971,0.994329,0.831163,0.917569,0.181893,0.990945,0.789199,0.940097,0.14707,0.995874,0.655101,0.946944,0.797577,1
10,2026-05-05 17:18:31,45.4,0.133479,0.216507,9.76e-05,0.556759,0.750626,0.976436,0.909109,0.984717,0.683413,0.854904,0.131959,0.992294,0.804399,0.921311,0.151575,0.992138,0.759762,0.935078,0.185204,0.992457,0.872431,0.909109,0.155283,0.991895,0.648928,0.942067,0.660881,0
11,2026-05-05 17:19:16,45.3,0.134452,0.217346,9.71e-05,0.553434,0.746015,0.977133,0.923359,0.985401,0.683035,0.862101,0.115167,0.992642,0.803669,0.925617,0.127887,0.994953,0.751925,0.928485,0.156001,0.990345,0.882036,0.923359,0.12874,0.994604,0.652599,0.945415,0.64003,0
12,2026-05-05 17:20:02,45.3,0.127834,0.196326,9.65e-05,0.573222,0.817152,0.98012,0.930973,0.987012,0.708208,0.877278,0.134179,0.993459,0.820933,0.934368,0.150195,0.993509,0.814922,0.938343,0.180044,0.99341,0.846909,0.930973,0.151202,0.996737,0.688005,0.952341,0.811108,1
13,2026-05-05 17:20:48,45.4,0.121143,0.203728,9.59e-05,0.571193,0.692344,0.977162,0.932795,0.984111,0.688648,0.868428,0.156504,0.991976,0.804861,0.929132,0.174413,0.99477,0.777636,0.926098,0.187993,0.989226,0.855716,0.932795,0.172623,0.993113,0.670988,0.948482,0.457563,0
14,2026-05-05 17:21:34,45.2,0.116466,0.205699,9.53e-05,0.557447,0.737765,0.978292,0.934412,0.985615,0.670928,0.864325,0.137089,0.992752,0.787767,0.926676,0.151952,0.992818,0.840977,0.920453,0.172763,0.99269,0.780207,0.934412,0.149386,0.991849,0.652677,0.945007,0.615611,0
15,2026-05-05 17:22:19,45.3,0.105207,0.191438,9.46e-05,0.584823,0.791369,0.980719,0.935151,0.987051,0.712679,0.879632,0.162159,0.99348,0.822438,0.935678,0.178475,0.993978,0.822044,0.936731,0.195545,0.992983,0.846567,0.935151,0.172439,0.995244,0.695479,0.953909,0.724719,1
16,2026-05-05 17:23:05,45.1,0.110334,0.19527,9.39e-05,0.575632,0.803675,0.979356,0.931607,0.986015,0.692805,0.875804,0.158287,0.992954,0.810052,0.933444,0.171542,0.994033,0.776323,0.935798,0.190993,0.991879,0.864185,0.931607,0.164452,0.990438,0.66808,0.949497,0.793449,0
17,2026-05-05 17:23:51,45.4,0.108639,0.238789,9.31e-05,0.554254,0.631741,0.974711,0.937604,0.981268,0.640916,0.867655,0.154189,0.990525,0.765554,0.928686,0.172035,0.994412,0.742614,0.92081,0.18626,0.98668,0.815285,0.937604,0.176321,0.979013,0.614396,0.945741,0.335085,0
18,2026-05-05 17:24:36,45.4,0.106472,0.189155,9.23e-05,0.586003,0.690105,0.979988,0.924514,0.986945,0.720604,0.877092,0.160313,0.993426,0.829694,0.934228,0.180593,0.993323,0.802691,0.944932,0.197734,0.993531,0.87595,0.924514,0.186219,0.992218,0.697216,0.950471,0.42263,1
19,2026-05-05 17:25:23,45.4,0.098731,0.184357,9.14e-05,0.590765,0.71705,0.981408,0.926924,0.987895,0.722782,0.882659,0.166852,0.993908,0.831754,0.937427,0.183541,0.992591,0.824291,0.948827,0.204517,0.995228,0.856904,0.926924,0.181879,0.996276,0.712704,0.956277,0.482168,1
20,2026-05-05 17:26:09,45.3,0.10397,0.218084,9.05e-05,0.567183,0.798221,0.976996,0.928102,0.98326,0.682908,0.854499,0.16414,0.991553,0.801279,0.920373,0.176549,0.993276,0.810893,0.913503,0.185178,0.989843,0.81592,0.928102,0.173792,0.983154,0.669887,0.936466,0.788311,0
21,2026-05-05 17:26:55,45.3,0.096693,0.178632,8.96e-05,0.590251,0.83932,0.982147,0.930246,0.988422,0.718556,0.886618,0.165579,0.994174,0.827789,0.939613,0.177468,0.99292,0.823412,0.94974,0.189048,0.995433,0.854395,0.930246,0.17474,0.997228,0.711524,0.958334,0.848102,0
22,2026-05-05 17:27:40,45.2,0.100494,0.215355,8.86e-05,0.57705,0.786607,0.978147,0.94592,0.983974,0.684704,0.873082,0.173362,0.991914,0.800553,0.931642,0.186731,0.995431,0.786507,0.918472,0.212513,0.988428,0.835812,0.94592,0.180737,0.980686,0.664143,0.945474,0.750204,0
23,2026-05-05 17:28:25,45.1,0.101806,0.180244,8.76e-05,0.597558,0.803903,0.98184,0.942838,0.987919,0.727994,0.887081,0.1776,0.99392,0.835658,0.939846,0.193615,0.99489,0.829174,0.93759,0.204851,0.992955,0.858629,0.942838,0.191245,0.994561,0.720943,0.956549,0.734218,1
24,2026-05-05 17:29:12,45.0,0.100381,0.177861,8.66e-05,0.591554,0.810473,0.981068,0.938679,0.988135,0.717378,0.882674,0.174609,0.994029,0.826899,0.937336,0.18714,0.996594,0.783422,0.93674,0.199059,0.991479,0.896564,0.938679,0.186397,0.996817,0.714187,0.956693,0.76054,0
25,2026-05-05 17:29:57,45.3,0.09988,0.178117,8.55e-05,0.594927,0.705291,0.981646,0.940092,0.98829,0.726134,0.885778,0.172869,0.994108,0.833351,0.939126,0.190833,0.995572,0.81058,0.938672,0.224888,0.99265,0.875974,0.940092,0.181063,0.99622,0.722421,0.956859,0.436592,0
26,2026-05-05 17:30:42,45.2,0.095372,0.175549,8.44e-05,0.594187,0.805983,0.98217,0.926363,0.988605,0.724241,0.88591,0.172408,0.994267,0.83299,0.939192,0.187275,0.992779,0.813758,0.953051,0.211311,0.995761,0.87259,0.926363,0.178906,0.997243,0.722722,0.958189,0.737037,0
27,2026-05-05 17:31:27,45.1,0.094796,0.206492,8.32e-05,0.580822,0.714974,0.978664,0.947591,0.984708,0.711491,0.870411,0.160564,0.99229,0.823208,0.930202,0.172886,0.996953,0.79903,0.91454,0.181139,0.987678,0.868669,0.947591,0.175722,0.991102,0.701562,0.95106,0.4923,0
28,2026-05-05 17:32:12,45.1,0.095786,0.174464,8.21e-05,0.599459,0.865428,0.983579,0.955332,0.989325,0.732795,0.895974,0.169609,0.994632,0.838764,0.944865,0.181269,0.995651,0.86023,0.935142,0.214234,0.993615,0.833287,0.955332,0.17768,0.997055,0.739894,0.960792,0.895598,1
29,2026-05-05 17:32:59,45.2,0.087687,0.168357,8.08e-05,0.602013,0.862462,0.98376,0.951195,0.989525,0.733109,0.896692,0.176239,0.994733,0.838334,0.945282,0.189009,0.995373,0.850214,0.940035,0.205294,0.994093,0.844422,0.951195,0.181585,0.997336,0.73677,0.961251,0.889364,1
30,2026-05-05 17:33:45,45.0,0.088253,0.165673,7.96e-05,0.604915,0.863314,0.98328,0.9464,0.989257,0.742796,0.894305,0.177643,0.994597,0.845304,0.943933,0.191448,0.996275,0.819173,0.942036,0.198979,0.992925,0.890516,0.9464,0.187988,0.997021,0.740614,0.960342,0.888986,1
31,2026-05-05 17:34:33,46.5,0.092268,0.174716,7.83e-05,0.597517,0.861094,0.983225,0.941937,0.989487,0.734571,0.893004,0.164976,0.994713,0.838905,0.943133,0.175128,0.995683,0.817885,0.945028,0.190083,0.993746,0.88075,0.941937,0.173692,0.997287,0.738116,0.960255,0.884911,0
32,2026-05-05 17:35:21,47.5,0.088735,0.177705,7.70e-05,0.593622,0.848691,0.982561,0.939471,0.989338,0.722412,0.89029,0.168163,0.994638,0.83138,0.941682,0.179617,0.996405,0.793532,0.944646,0.19073,0.992879,0.893058,0.939471,0.180998,0.997215,0.716441,0.958124,0.871509,0
33,2026-05-05 17:36:08,47.7,0.093413,0.164082,7.57e-05,0.60668,0.846757,0.984147,0.942708,0.989651,0.74481,0.898069,0.177163,0.994796,0.84716,0.946034,0.187406,0.994005,0.850562,0.950027,0.217714,0.995589,0.860395,0.942708,0.183088,0.997605,0.753969,0.963391,0.822911,1
34,2026-05-05 17:36:58,48.0,0.081321,0.159834,7.43e-05,0.613394,0.801023,0.984131,0.949301,0.989557,0.75256,0.899716,0.187906,0.994749,0.852052,0.947022,0.206054,0.99569,0.841406,0.945204,0.231246,0.99381,0.878538,0.949301,0.202932,0.997287,0.755276,0.962462,0.685333,1
35,2026-05-05 17:37:45,46.3,0.086685,0.16389,7.30e-05,0.605009,0.86508,0.983867,0.957853,0.989429,0.738084,0.897628,0.179314,0.994684,0.842395,0.945806,0.193787,0.996225,0.86265,0.934658,0.2252,0.993149,0.840199,0.957853,0.18798,0.996809,0.746509,0.961122,0.887608,0
36,2026-05-05 17:38:32,46.4,0.087523,0.165645,7.16e-05,0.605853,0.836923,0.982993,0.96081,0.98851,0.730725,0.893384,0.193448,0.994218,0.837421,0.943434,0.211077,0.996324,0.872145,0.927283,0.231141,0.992124,0.82191,0.96081,0.206075,0.992914,0.738022,0.956391,0.816356,0
37,2026-05-05 17:39:19,47.3,0.084332,0.165654,7.02e-05,0.607509,0.850499,0.984422,0.951124,0.989902,0.748691,0.900864,0.172972,0.994923,0.849222,0.947624,0.184526,0.995521,0.852217,0.944659,0.212742,0.994326,0.862916,0.951124,0.181725,0.997312,0.760546,0.96347,0.827481,0
38,2026-05-05 17:40:06,47.5,0.078505,0.166445,6.87e-05,0.603131,0.838383,0.984292,0.956679,0.990005,0.737095,0.900288,0.172009,0.994976,0.840376,0.947248,0.181892,0.995863,0.873249,0.938594,0.189059,0.99409,0.830068,0.956679,0.181678,0.997308,0.74907,0.96239,0.80369,0
