epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-05-05 16:40:39,38.1,0.540338,0.424027,1.00e-04,0.400434,0.438935,0.950076,0.946401,0.961853,0.365445,0.74632,0.089537,0.980513,0.505815,0.854104,0.105048,0.993077,0.732284,0.779879,0.101737,0.968313,0.414331,0.946401,0.115299,0.943897,0.397671,0.851018,0.068116,1
2,2026-05-05 16:41:16,36.8,0.329387,0.306023,9.99e-05,0.494553,0.521179,0.965633,0.894122,0.976476,0.582865,0.81348,0.087315,0.988088,0.727606,0.896836,0.101581,0.99328,0.634869,0.900532,0.107538,0.982958,0.874463,0.894122,0.099569,0.975322,0.502546,0.920822,0.140169,1
3,2026-05-05 16:41:53,36.7,0.234326,0.261751,9.98e-05,0.519766,0.695293,0.971922,0.882365,0.982375,0.628067,0.833052,0.098179,0.991103,0.759763,0.908547,0.109426,0.989069,0.71087,0.937629,0.118476,0.993149,0.854277,0.882365,0.116183,0.987958,0.589787,0.933531,0.56256,1
4,2026-05-05 16:42:31,36.6,0.17965,0.347959,9.96e-05,0.438512,0.601188,0.889493,0.94973,0.877928,0.652908,0.569064,0.093564,0.934385,0.778587,0.719401,0.106904,0.997989,0.771224,0.587476,0.094705,0.879477,0.809743,0.94973,0.123197,0.849869,0.620347,0.777692,0.405526,0
5,2026-05-05 16:43:07,36.8,0.149394,0.238576,9.94e-05,0.533434,0.744006,0.974299,0.937101,0.983453,0.647657,0.849716,0.102928,0.99165,0.773002,0.918364,0.115398,0.997063,0.767091,0.901282,0.132164,0.986305,0.81798,0.937101,0.124944,0.990262,0.610374,0.937685,0.683959,1
6,2026-05-05 16:43:45,36.5,0.148219,0.222438,9.91e-05,0.547187,0.754821,0.97777,0.912828,0.988858,0.664518,0.867051,0.109991,0.994395,0.789031,0.928418,0.127753,0.995044,0.733721,0.945394,0.13156,0.993748,0.878995,0.912828,0.136653,0.993764,0.62921,0.941144,0.69411,1
7,2026-05-05 16:44:23,36.6,0.135676,0.209402,9.88e-05,0.560027,0.740924,0.979106,0.928184,0.989646,0.657339,0.871606,0.151137,0.994794,0.783579,0.930945,0.170168,0.996563,0.74968,0.934573,0.17585,0.993033,0.84062,0.928184,0.177692,0.994358,0.622807,0.941589,0.658375,1
8,2026-05-05 16:45:00,36.7,0.130257,0.211074,9.84e-05,0.556836,0.760288,0.978374,0.929051,0.988935,0.665554,0.869931,0.135023,0.994434,0.79065,0.930117,0.153833,0.997178,0.743388,0.932096,0.163632,0.991708,0.86496,0.929051,0.161241,0.993871,0.632793,0.942244,0.705828,0
9,2026-05-05 16:45:37,36.7,0.126853,0.201336,9.80e-05,0.566113,0.737946,0.980023,0.932969,0.990568,0.666744,0.879131,0.152463,0.99526,0.789987,0.935352,0.167841,0.996726,0.760124,0.938606,0.164134,0.993799,0.842894,0.932969,0.174043,0.994769,0.634259,0.943715,0.635863,1
10,2026-05-05 16:46:15,36.6,0.124682,0.191175,9.76e-05,0.577532,0.823059,0.981599,0.926974,0.990175,0.694356,0.885949,0.15229,0.995061,0.811931,0.939299,0.170917,0.993129,0.803901,0.952689,0.180072,0.997003,0.836317,0.926974,0.169223,0.995495,0.660322,0.948715,0.860139,1
