epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 12:33:47,16.4,0.790411,0.509901,1.00e-04,0.381192,0.630397,0.935272,0.826392,0.942435,0.465569,0.677831,0.000175,0.97027,0.631814,0.807569,0.000348,0.98753,0.507015,0.791328,0.006912,0.953706,0.872394,0.826392,0.000179,0.872692,0.229676,0.851374,0.810143,1
2,2026-04-22 12:34:04,16.2,0.457825,0.367663,9.99e-05,0.483434,0.803607,0.959487,0.915427,0.961608,0.696564,0.753738,0.0,0.980383,0.817418,0.859103,0.0,0.992258,0.77813,0.809733,0.0,0.96884,0.87132,0.915427,0.0,0.951561,0.706127,0.898242,0.806452,1
3,2026-04-22 12:34:21,16.2,0.343121,0.31139,9.98e-05,0.503165,0.815425,0.965631,0.88907,0.968395,0.733941,0.775553,0.0,0.983912,0.843431,0.873192,0.0,0.98807,0.816208,0.858356,0.0,0.979803,0.882924,0.88907,0.0,0.973153,0.74824,0.923842,0.774194,1
4,2026-04-22 12:34:38,16.5,0.308308,0.286676,9.96e-05,0.50442,0.824785,0.966146,0.888794,0.96931,0.735527,0.777711,2.4e-05,0.984385,0.844308,0.874479,4.8e-05,0.989224,0.795464,0.860994,0.000556,0.979611,0.909976,0.888794,2.5e-05,0.977873,0.735212,0.927895,0.811247,1
5,2026-04-22 12:34:55,16.3,0.284743,0.274207,9.94e-05,0.509668,0.831091,0.967575,0.854333,0.970858,0.742462,0.777923,0.008619,0.985185,0.849567,0.874633,0.013604,0.985035,0.788677,0.896632,0.017967,0.985342,0.929784,0.854333,0.010946,0.981514,0.744424,0.930042,0.818806,1
6,2026-04-22 12:35:13,16.5,0.270225,0.262172,9.91e-05,0.519049,0.838072,0.968603,0.877064,0.971249,0.754413,0.788038,0.014695,0.985388,0.856928,0.881043,0.021144,0.985763,0.833768,0.885762,0.045835,0.985019,0.891604,0.877064,0.018322,0.981053,0.770718,0.937125,0.806373,1
7,2026-04-22 12:35:30,16.4,0.252267,0.259387,9.88e-05,0.517767,0.844564,0.969063,0.886263,0.971825,0.757367,0.791025,0.004909,0.985686,0.858836,0.882954,0.008522,0.987298,0.832361,0.880651,0.021172,0.984087,0.897013,0.886263,0.005334,0.983145,0.775493,0.939085,0.819116,0
8,2026-04-22 12:35:46,16.3,0.254387,0.267309,9.84e-05,0.518119,0.825413,0.968427,0.904934,0.971066,0.754943,0.79095,0.008463,0.985291,0.856478,0.882806,0.013791,0.989672,0.840149,0.863257,0.032453,0.980969,0.885278,0.904934,0.009703,0.982843,0.776916,0.940008,0.759313,0
9,2026-04-22 12:36:03,16.6,0.245558,0.254487,9.80e-05,0.523771,0.801567,0.968544,0.855688,0.971426,0.756642,0.783161,0.031511,0.98548,0.858322,0.877991,0.041761,0.982876,0.845043,0.902863,0.051616,0.988108,0.883992,0.855688,0.038661,0.981496,0.777688,0.938574,0.688439,1
10,2026-04-22 12:36:20,16.0,0.233147,0.258118,9.76e-05,0.529319,0.841806,0.970064,0.859895,0.97251,0.764962,0.792601,0.030395,0.986038,0.863588,0.883899,0.041281,0.982842,0.848579,0.910213,0.054721,0.989263,0.889198,0.859895,0.03384,0.984574,0.788904,0.945068,0.791445,1
11,2026-04-22 12:36:37,16.4,0.2347,0.228949,9.71e-05,0.545668,0.828955,0.970227,0.909044,0.972711,0.764771,0.802355,0.06988,0.986139,0.863464,0.889983,0.090329,0.990401,0.844835,0.87258,0.11915,0.981935,0.89281,0.909044,0.099146,0.983424,0.790657,0.943119,0.75309,1
12,2026-04-22 12:36:54,16.4,0.237454,0.252486,9.65e-05,0.519048,0.846688,0.970151,0.878526,0.973297,0.752665,0.796099,0.00838,0.986444,0.855586,0.886055,0.013596,0.986494,0.827175,0.894839,0.058615,0.986403,0.896954,0.878526,0.008846,0.984501,0.77321,0.942348,0.824505,0
13,2026-04-22 12:37:11,16.5,0.233916,0.241912,9.59e-05,0.529998,0.815805,0.970234,0.893001,0.973704,0.756115,0.799777,0.034101,0.986652,0.857755,0.888377,0.049118,0.989713,0.816012,0.884949,0.104838,0.983623,0.914682,0.893001,0.038721,0.985346,0.769987,0.940213,0.737215,0
14,2026-04-22 12:37:27,15.9,0.227832,0.224148,9.53e-05,0.55163,0.833482,0.972291,0.888405,0.974973,0.768977,0.810967,0.074946,0.987306,0.865607,0.895193,0.093866,0.985836,0.875416,0.903068,0.114783,0.98879,0.865422,0.888405,0.082443,0.986479,0.801026,0.949411,0.750009,1
15,2026-04-22 12:37:44,15.9,0.218734,0.235251,9.46e-05,0.525808,0.757932,0.968924,0.91033,0.974672,0.70752,0.794473,0.075433,0.987151,0.821752,0.88496,0.100513,0.988853,0.905549,0.863485,0.095935,0.985473,0.764239,0.91033,0.117173,0.986431,0.743736,0.935674,0.594388,0
16,2026-04-22 12:38:00,16.0,0.216748,0.224724,9.39e-05,0.546679,0.812109,0.972549,0.890754,0.97529,0.764481,0.811667,0.063889,0.98747,0.862624,0.895592,0.083667,0.985862,0.881688,0.901334,0.151089,0.989089,0.853826,0.890754,0.067549,0.987638,0.798125,0.950624,0.68758,0
17,2026-04-22 12:38:16,16.0,0.21899,0.217883,9.31e-05,0.549124,0.817204,0.972179,0.916882,0.975449,0.762496,0.812604,0.072271,0.987551,0.861114,0.896184,0.090773,0.989706,0.888962,0.877813,0.106293,0.985418,0.845084,0.916882,0.08101,0.98675,0.792445,0.945376,0.71379,0
18,2026-04-22 12:38:32,16.0,0.208148,0.217164,9.23e-05,0.550287,0.837401,0.972538,0.877467,0.975426,0.773535,0.809794,0.067534,0.987539,0.869928,0.89458,0.085582,0.986749,0.836721,0.913439,0.112449,0.988343,0.915343,0.877467,0.075087,0.987358,0.794385,0.946028,0.77179,0
19,2026-04-22 12:38:48,16.0,0.219116,0.227578,9.14e-05,0.53873,0.866821,0.973034,0.911758,0.976035,0.771856,0.817266,0.027067,0.987853,0.868099,0.899029,0.041919,0.990735,0.846734,0.887655,0.083199,0.984998,0.898762,0.911758,0.028403,0.9876,0.794518,0.948675,0.857269,0
20,2026-04-22 12:39:04,15.9,0.2265,0.206207,9.05e-05,0.554602,0.82226,0.973365,0.894908,0.97649,0.766777,0.816555,0.080474,0.988085,0.864676,0.898649,0.098732,0.988028,0.851947,0.903426,0.113988,0.988151,0.886701,0.894908,0.088714,0.988467,0.792245,0.950061,0.724474,1
21,2026-04-22 12:39:21,15.9,0.215565,0.205413,8.96e-05,0.556606,0.802598,0.97355,0.905198,0.976494,0.770146,0.819797,0.079874,0.988088,0.865777,0.900508,0.09795,0.988536,0.873406,0.896769,0.104749,0.987647,0.868785,0.905198,0.093277,0.988892,0.799882,0.951985,0.655928,1
22,2026-04-22 12:39:37,16.1,0.21341,0.208064,8.86e-05,0.549028,0.812189,0.972245,0.91243,0.974954,0.774919,0.813026,0.05914,0.987297,0.870566,0.896541,0.073086,0.991223,0.841926,0.882033,0.084126,0.983417,0.907472,0.91243,0.06562,0.987126,0.796885,0.946842,0.69284,0
