epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 12:25:20,10.1,0.847228,0.608469,1.00e-04,0.262425,0.346169,0.872346,0.753184,0.879914,0.260855,0.523243,0.003175,0.935591,0.409946,0.686196,0.005942,0.984408,0.29913,0.633815,0.006847,0.892288,0.735321,0.753184,0.014284,0.641541,0.164583,0.601403,0.27252,1
2,2026-04-22 12:25:30,9.7,0.531545,0.423139,9.99e-05,0.391407,0.564747,0.930766,0.857555,0.93247,0.513697,0.658214,0.002308,0.964939,0.67516,0.793291,0.004308,0.989,0.550481,0.739003,0.002531,0.942167,0.886827,0.857555,0.014463,0.825477,0.254292,0.791694,0.648254,1
3,2026-04-22 12:25:40,9.6,0.406787,0.337463,9.98e-05,0.44928,0.710828,0.949692,0.875016,0.951558,0.634054,0.71161,0.002177,0.975116,0.772088,0.831017,0.004078,0.988178,0.700704,0.791779,0.00257,0.962466,0.874594,0.875016,0.00988,0.913594,0.519975,0.864391,0.748118,1
4,2026-04-22 12:25:49,9.6,0.34462,0.31175,9.96e-05,0.467815,0.751274,0.955939,0.88139,0.958511,0.670059,0.731291,0.002093,0.978766,0.797253,0.844089,0.003931,0.987191,0.767233,0.810591,0.00253,0.970515,0.844586,0.88139,0.008808,0.945262,0.64752,0.89029,0.716013,1
5,2026-04-22 12:25:59,9.5,0.320604,0.297312,9.94e-05,0.477653,0.795405,0.958455,0.88048,0.961291,0.692244,0.740716,0.0,0.980219,0.814359,0.850424,0.0,0.988606,0.761333,0.823039,0.0,0.972007,0.888673,0.88048,0.0,0.956043,0.68168,0.898084,0.806452,1
6,2026-04-22 12:26:09,9.7,0.301255,0.288937,9.91e-05,0.485103,0.80611,0.96037,0.89051,0.962922,0.706122,0.749189,0.0,0.98107,0.823602,0.85597,0.0,0.98861,0.799267,0.824584,0.0,0.973679,0.859899,0.89051,0.0,0.960573,0.707141,0.904738,0.806452,1
7,2026-04-22 12:26:19,9.9,0.284565,0.282856,9.88e-05,0.491568,0.820616,0.963166,0.875043,0.965823,0.71697,0.757733,0.0,0.982577,0.830158,0.861526,0.0,0.983725,0.86068,0.848963,0.0,0.981448,0.814155,0.875043,0.0,0.968472,0.736692,0.918705,0.806452,1
8,2026-04-22 12:26:29,9.7,0.275844,0.277799,9.84e-05,0.495822,0.82294,0.964312,0.878429,0.967188,0.722833,0.764633,0.0,0.983286,0.834967,0.866037,0.0,0.98536,0.836022,0.854761,0.0,0.981234,0.845563,0.878429,0.0,0.971627,0.740303,0.922066,0.806452,1
9,2026-04-22 12:26:39,9.8,0.283789,0.267718,9.80e-05,0.505082,0.832868,0.964659,0.891177,0.967222,0.732803,0.769586,0.012858,0.983302,0.842536,0.869324,0.018387,0.9879,0.820567,0.849349,0.021935,0.978767,0.877086,0.891177,0.015827,0.973678,0.749707,0.924553,0.824344,1
10,2026-04-22 12:26:49,9.8,0.265328,0.265542,9.76e-05,0.503736,0.830525,0.964159,0.888789,0.966764,0.729071,0.767795,0.014343,0.983062,0.839493,0.868089,0.021922,0.988308,0.814858,0.84898,0.032701,0.977903,0.877104,0.888789,0.0282,0.972096,0.739878,0.921518,0.830178,0
