epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 12:56:39,30.1,0.759624,0.546229,1.00e-04,0.284647,0.361327,0.937563,0.867597,0.951023,0.20274,0.650716,0.000485,0.974825,0.320471,0.787426,0.000955,0.97549,0.785942,0.723519,0.001014,0.974225,0.217267,0.867597,0.000903,0.898417,0.274397,0.806749,0.002835,1
2,2026-04-22 12:57:10,29.6,0.52936,0.394538,9.99e-05,0.48258,0.540578,0.966557,0.914618,0.971377,0.66589,0.781852,0.0,0.985455,0.792918,0.87707,0.0,0.988565,0.870052,0.84338,0.0,0.982371,0.743972,0.914618,0.0,0.96948,0.706916,0.914818,0.0,1
3,2026-04-22 12:57:44,28.9,0.41619,0.329493,9.98e-05,0.505974,0.682611,0.969825,0.875417,0.974408,0.720576,0.797346,0.0,0.987015,0.834729,0.886904,0.0,0.986444,0.797438,0.899537,0.0,0.987595,0.887637,0.875417,0.0,0.977151,0.727284,0.933453,0.387097,1
4,2026-04-22 12:58:19,29.0,0.355683,0.296311,9.96e-05,0.513753,0.716147,0.971988,0.889323,0.97604,0.731307,0.809952,0.0,0.987856,0.841169,0.894553,0.0,0.987398,0.830614,0.900344,0.0,0.988321,0.863501,0.889323,0.0,0.979588,0.755945,0.940882,0.451613,1
5,2026-04-22 12:58:53,28.9,0.316386,0.280189,9.94e-05,0.519731,0.794839,0.973151,0.91441,0.977073,0.740106,0.819088,0.0,0.988385,0.846489,0.900085,0.0,0.9902,0.848087,0.886875,0.0,0.986583,0.855313,0.91441,0.0,0.980435,0.765476,0.941621,0.677419,1
6,2026-04-22 12:59:28,29.1,0.286854,0.275341,9.91e-05,0.515572,0.665383,0.972712,0.908163,0.976757,0.730689,0.815181,0.000847,0.988224,0.839382,0.897658,0.001662,0.987833,0.882829,0.888151,0.034396,0.988622,0.808814,0.908163,0.000852,0.979531,0.761215,0.937989,0.296944,0
7,2026-04-22 12:59:57,28.9,0.279003,0.263341,9.88e-05,0.526759,0.789253,0.974165,0.919524,0.978133,0.753968,0.826308,0.0,0.988931,0.856856,0.904502,0.0,0.992145,0.827693,0.890818,0.0,0.985743,0.895414,0.919524,0.0,0.984998,0.776582,0.946015,0.645161,1
8,2026-04-22 13:00:34,28.9,0.254323,0.257475,9.84e-05,0.530649,0.783946,0.975534,0.932709,0.979323,0.758801,0.832555,0.000591,0.989539,0.859658,0.90816,0.001161,0.992225,0.87531,0.885712,0.014888,0.986874,0.850058,0.932709,0.000604,0.985784,0.787651,0.946442,0.617745,1
9,2026-04-22 13:01:10,28.9,0.251599,0.254592,9.80e-05,0.533123,0.830454,0.975235,0.91959,0.978948,0.762203,0.83453,0.002636,0.989346,0.861833,0.909422,0.004873,0.990874,0.864217,0.900128,0.017033,0.987832,0.868233,0.91959,0.002843,0.984398,0.790508,0.94951,0.751346,1
10,2026-04-22 13:01:45,29.0,0.244114,0.253423,9.76e-05,0.532743,0.804647,0.97625,0.908769,0.980354,0.761008,0.837222,0.0,0.990066,0.860854,0.911022,0.0,0.989588,0.858335,0.913788,0.0,0.990549,0.871879,0.908769,0.0,0.985534,0.786417,0.950106,0.677419,0
11,2026-04-22 13:02:14,29.0,0.237728,0.243385,9.71e-05,0.537665,0.842405,0.976114,0.894446,0.980446,0.762242,0.833347,0.017406,0.990112,0.862489,0.908768,0.02268,0.989121,0.827248,0.924211,0.060816,0.991111,0.909395,0.894446,0.018705,0.988163,0.778406,0.947998,0.80081,1
12,2026-04-22 13:02:49,29.0,0.235531,0.241554,9.65e-05,0.541205,0.82845,0.977132,0.912886,0.981256,0.767077,0.84194,0.014599,0.990526,0.864905,0.913819,0.02379,0.990506,0.855984,0.915308,0.055853,0.99055,0.880841,0.912886,0.015115,0.989195,0.791489,0.950663,0.743199,1
13,2026-04-22 13:03:23,29.0,0.242923,0.236607,9.59e-05,0.546478,0.855537,0.977625,0.917017,0.981479,0.767631,0.845342,0.026462,0.990638,0.865316,0.915816,0.035117,0.99,0.881942,0.915212,0.054636,0.991282,0.856835,0.917017,0.031804,0.989461,0.798205,0.952902,0.815504,1
14,2026-04-22 13:03:59,29.0,0.233679,0.255294,9.53e-05,0.528306,0.824375,0.972636,0.901057,0.976634,0.753813,0.823234,0.00787,0.988074,0.855845,0.901343,0.012653,0.989745,0.83188,0.906096,0.028546,0.986633,0.890196,0.901057,0.008127,0.982139,0.773652,0.943175,0.756299,0
15,2026-04-22 13:04:28,29.0,0.238584,0.235894,9.46e-05,0.543935,0.810127,0.97636,0.906552,0.981006,0.755018,0.833903,0.042884,0.990398,0.856894,0.908975,0.055069,0.991398,0.82134,0.912814,0.07762,0.989407,0.908537,0.906552,0.048909,0.988926,0.772958,0.948115,0.709309,0
16,2026-04-22 13:04:57,29.0,0.237409,0.227832,9.39e-05,0.549221,0.815649,0.97674,0.903845,0.980934,0.761524,0.837861,0.048276,0.990361,0.86133,0.911408,0.064008,0.990336,0.836287,0.91984,0.065508,0.990392,0.898421,0.903845,0.065725,0.988967,0.780044,0.949983,0.716922,1
17,2026-04-22 13:05:34,29.1,0.231971,0.276574,9.31e-05,0.532805,0.665774,0.963613,0.91286,0.966643,0.757546,0.811405,0.029462,0.982905,0.858481,0.894399,0.04661,0.993049,0.811957,0.879323,0.082928,0.973292,0.921964,0.91286,0.037844,0.963867,0.776708,0.935306,0.285308,0
18,2026-04-22 13:06:03,29.0,0.221712,0.273203,9.23e-05,0.53202,0.619051,0.963025,0.918671,0.966143,0.761131,0.808985,0.025945,0.982632,0.861732,0.893032,0.035041,0.99378,0.823111,0.870507,0.034615,0.972071,0.911997,0.918671,0.038735,0.94081,0.779064,0.913385,0.164704,0
19,2026-04-22 13:06:32,29.0,0.212121,0.232158,9.14e-05,0.548048,0.803394,0.977668,0.902729,0.981615,0.773064,0.844989,0.026092,0.990709,0.868889,0.915609,0.038802,0.988934,0.856339,0.929627,0.05281,0.992498,0.889575,0.902729,0.031279,0.986151,0.801056,0.952735,0.656392,0
20,2026-04-22 13:07:01,29.0,0.208893,0.233593,9.05e-05,0.549184,0.760441,0.9766,0.942009,0.980686,0.7645,0.843076,0.039976,0.990238,0.86316,0.914398,0.054477,0.993732,0.886828,0.889331,0.067919,0.986776,0.849019,0.942009,0.051666,0.984511,0.79235,0.950156,0.538815,0
21,2026-04-22 13:07:31,29.6,0.2007,0.212394,8.96e-05,0.562693,0.850802,0.978546,0.917358,0.982298,0.774243,0.85146,0.062376,0.991057,0.869241,0.919445,0.08237,0.990084,0.882167,0.922098,0.098559,0.992036,0.864982,0.917358,0.075243,0.990639,0.802266,0.956313,0.793826,1
22,2026-04-22 13:08:05,28.9,0.205223,0.295721,8.86e-05,0.496651,0.683709,0.949771,0.938438,0.950851,0.745351,0.716879,0.027722,0.974347,0.84944,0.820138,0.03587,0.993261,0.869696,0.754504,0.062205,0.957137,0.841128,0.938438,0.031755,0.943199,0.763992,0.890027,0.397109,0
23,2026-04-22 13:08:34,29.0,0.207199,0.256196,8.76e-05,0.529333,0.74827,0.964113,0.911488,0.967283,0.759164,0.765763,0.063072,0.983225,0.860371,0.858972,0.08316,0.992357,0.815263,0.829052,0.13655,0.974612,0.920635,0.911488,0.076483,0.972321,0.76814,0.926938,0.549732,0
24,2026-04-22 13:09:03,29.0,0.215173,0.251983,8.66e-05,0.553419,0.712506,0.969376,0.910864,0.972249,0.777038,0.850292,0.032926,0.98583,0.871431,0.918784,0.044849,0.989283,0.8754,0.92748,0.084505,0.982678,0.875447,0.910864,0.045364,0.973976,0.806043,0.954933,0.376543,0
25,2026-04-22 13:09:32,29.0,0.209128,0.324087,8.55e-05,0.538013,0.587629,0.935907,0.888355,0.937452,0.780605,0.826669,0.006767,0.967036,0.874215,0.904753,0.012577,0.990521,0.85678,0.922653,0.00693,0.94611,0.900095,0.888355,0.086994,0.94757,0.799242,0.94173,0.021914,0
26,2026-04-22 13:10:01,28.9,0.206119,0.199633,8.44e-05,0.572788,0.778321,0.978664,0.924157,0.98266,0.786046,0.852505,0.079815,0.991241,0.877724,0.920083,0.101206,0.992298,0.869204,0.916698,0.10956,0.990193,0.893275,0.924157,0.100756,0.991524,0.809191,0.954819,0.570954,1
27,2026-04-22 13:10:35,28.9,0.208006,0.221371,8.32e-05,0.553746,0.86884,0.978781,0.932384,0.982558,0.781074,0.849762,0.030403,0.991192,0.874047,0.918321,0.039467,0.992066,0.890029,0.905701,0.050435,0.990327,0.864578,0.932384,0.03433,0.981751,0.810343,0.945622,0.850556,0
28,2026-04-22 13:11:04,29.0,0.195966,0.19501,8.21e-05,0.577648,0.749309,0.979092,0.917356,0.982819,0.787232,0.852452,0.09326,0.991324,0.878891,0.920083,0.116116,0.991714,0.85841,0.923402,0.126289,0.990941,0.906295,0.917356,0.110737,0.986822,0.807227,0.950502,0.490198,1
