epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 14:11:51,17.6,51.660643,0.662074,2.00e-04,0.223733,0.299586,0.921973,0.618049,0.935207,0.1575,0.513698,0.0,0.966349,0.234666,0.676701,0.0,0.938732,0.823944,0.752842,0.0,0.995985,0.161965,0.618049,0.0,0.810244,0.179292,0.719465,0.0,1
2,2026-04-22 14:12:08,17.3,26.857371,0.511563,2.00e-04,0.456011,0.650756,0.959794,0.795711,0.964634,0.638115,0.729919,0.0,0.981941,0.769452,0.843404,0.0,0.972792,0.790685,0.898594,0.0,0.99134,0.783438,0.795711,0.0,0.935955,0.65685,0.876064,0.419355,1
3,2026-04-22 14:12:26,17.2,24.924762,0.360028,2.00e-04,0.255057,0.515361,0.253866,0.95015,0.131513,0.623989,0.141183,0.0,0.229773,0.758505,0.243442,0.0,0.974608,0.796811,0.142534,0.0,0.132155,0.753155,0.95015,0.0,0.676783,0.669288,0.489699,0.387097,0
4,2026-04-22 14:12:43,16.9,24.71472,0.330272,2.00e-04,0.475271,0.602972,0.964529,0.834067,0.971109,0.662751,0.763063,0.0,0.985309,0.792554,0.865008,0.0,0.983149,0.728573,0.899342,0.0,0.987516,0.883518,0.834067,0.0,0.963362,0.648353,0.902498,0.258065,1
5,2026-04-22 14:13:01,17.2,22.450083,0.346626,2.00e-04,0.461686,0.631427,0.961385,0.805298,0.966301,0.643086,0.741972,0.0,0.982814,0.768557,0.851155,0.0,0.972549,0.84621,0.904452,0.0,0.993361,0.738895,0.805298,0.0,0.94457,0.681643,0.890056,0.322581,0
6,2026-04-22 14:13:18,17.0,21.701542,0.251789,2.00e-04,0.494357,0.537591,0.966312,0.871162,0.970383,0.706311,0.776761,0.0,0.98494,0.82387,0.873704,0.0,0.984911,0.796421,0.877727,0.0,0.984999,0.8703,0.871162,0.0,0.929062,0.716215,0.896558,0.0,1
7,2026-04-22 14:13:36,17.1,20.140802,0.329944,2.00e-04,0.505654,0.552944,0.968631,0.84254,0.974652,0.726266,0.790184,0.000512,0.987134,0.838048,0.882442,0.001015,0.983043,0.79539,0.92724,0.0008,0.991282,0.893481,0.84254,0.001618,0.972775,0.737221,0.918946,0.002666,1
8,2026-04-22 14:13:53,16.7,21.148912,0.213346,2.00e-04,0.399741,0.667569,0.928278,0.946479,0.930142,0.582574,0.616649,0.0,0.963732,0.708816,0.753891,0.0,0.991891,0.882634,0.642391,0.0,0.937362,0.63899,0.946479,0.0,0.57062,0.665597,0.595174,0.741935,0
9,2026-04-22 14:14:10,17.2,21.659311,0.159641,2.00e-04,0.504921,0.761015,0.970837,0.890224,0.975552,0.704507,0.810255,0.0,0.987603,0.822574,0.89474,0.0,0.988771,0.773389,0.900313,0.0,0.986451,0.894455,0.890224,0.0,0.970995,0.70613,0.931754,0.645161,0
10,2026-04-22 14:14:27,17.4,22.815232,0.081807,2.00e-04,0.491606,0.753733,0.964266,0.784116,0.967197,0.725604,0.749165,5e-05,0.983272,0.835792,0.855967,0.0001,0.971386,0.820765,0.9434,0.021505,0.99553,0.867385,0.784116,5e-05,0.948281,0.746985,0.900309,0.613906,0
