epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 14:25:07,10.3,43.203785,0.0,2.00e-04,0.32443,0.44584,0.936,0.9463,0.948255,0.332213,0.641078,0.0,0.973422,0.448911,0.778033,0.0,0.99205,0.822511,0.668382,0.0,0.955529,0.374869,0.9463,0.0,0.819531,0.443628,0.764861,0.129032,1
2,2026-04-22 14:25:17,9.9,25.631579,0.0,2.00e-04,0.37632,0.457903,0.951685,0.794769,0.961514,0.44301,0.68595,0.0,0.980298,0.586385,0.812561,0.0,0.967589,0.872918,0.835572,0.0,0.993492,0.480057,0.794769,0.0,0.922347,0.548316,0.825394,0.0,1
3,2026-04-22 14:25:27,9.7,22.092281,0.0,2.00e-04,0.431277,0.635079,0.961784,0.859624,0.970005,0.54894,0.744891,0.0,0.984735,0.686072,0.852812,0.0,0.978693,0.877375,0.849833,0.0,0.9909,0.605928,0.859624,0.0,0.953801,0.647746,0.870396,0.387097,1
4,2026-04-22 14:25:37,9.7,21.351697,0.0,2.00e-04,0.452111,0.546244,0.964187,0.897284,0.971328,0.591868,0.764465,0.0,0.985422,0.725282,0.865532,0.0,0.984461,0.881129,0.839098,0.0,0.986424,0.654019,0.897284,0.0,0.964333,0.648317,0.89364,0.096774,1
5,2026-04-22 14:25:48,9.4,19.184526,0.0,2.00e-04,0.174563,0.178627,0.680881,0.955168,0.654228,0.234763,0.288926,0.0,0.787554,0.318836,0.433328,0.0,0.988159,0.764758,0.294746,0.0,0.660039,0.244312,0.955168,0.0,0.255541,0.294164,0.209458,0.032258,0
6,2026-04-22 14:25:57,9.7,18.754045,0.0,2.00e-04,0.049344,0.110052,0.154576,0.978519,0.036487,0.013976,0.133166,0.000892,0.069304,0.027106,0.231796,0.001761,0.983816,0.451697,0.133638,0.000989,0.03655,0.014268,0.978519,0.010251,0.589149,0.080099,0.246306,0.00375,0
7,2026-04-22 14:26:07,9.7,17.235997,0.0,2.00e-04,0.416148,0.500009,0.947737,0.696254,0.958299,0.580189,0.667997,0.000257,0.978632,0.718417,0.799808,0.000513,0.961752,0.812097,0.943017,0.000352,0.996248,0.69219,0.696254,0.001885,0.914698,0.6487,0.847565,0.003762,0
8,2026-04-22 14:26:16,9.5,16.858585,0.0,2.00e-04,0.282953,0.505102,0.375059,0.952273,0.277583,0.678719,0.170074,6.5e-05,0.424085,0.799163,0.28312,0.000131,0.983413,0.866206,0.172082,0.034156,0.279372,0.764548,0.952273,6.6e-05,0.524439,0.730691,0.330635,0.453979,0
9,2026-04-22 14:26:26,9.8,16.101218,0.0,2.00e-04,0.465994,0.556689,0.960563,0.793098,0.968111,0.641349,0.756046,0.000587,0.983753,0.766568,0.860555,0.001153,0.971644,0.85554,0.942169,0.001249,0.996222,0.717542,0.793098,0.001071,0.949066,0.70356,0.899328,0.06718,1
10,2026-04-22 14:26:36,9.7,16.318538,0.0,2.00e-04,0.41464,0.544063,0.963658,0.90706,0.973682,0.477413,0.766507,0.0,0.986634,0.602394,0.866325,0.0,0.983657,0.934412,0.833022,0.0,0.989669,0.500973,0.90706,0.0,0.971727,0.538883,0.899756,0.193548,0
11,2026-04-22 14:26:46,9.7,15.787524,0.0,2.00e-04,0.506839,0.790713,0.968683,0.829149,0.971695,0.739566,0.780951,0.0,0.985604,0.846296,0.876546,0.0,0.976624,0.859822,0.930587,0.0,0.99479,0.843548,0.829149,0.0,0.963476,0.775092,0.919627,0.677419,1
12,2026-04-22 14:26:56,9.6,14.862251,0.0,2.00e-04,0.523111,0.770418,0.974183,0.903223,0.97859,0.745543,0.823789,0.0,0.98916,0.851112,0.903066,0.0,0.98968,0.822054,0.903698,0.0,0.988652,0.891402,0.903223,0.0,0.983048,0.762561,0.93579,0.612903,1
13,2026-04-22 14:27:07,9.7,15.607176,0.0,2.00e-04,0.520985,0.795847,0.974639,0.907186,0.979326,0.737325,0.825629,0.0,0.989536,0.844942,0.904061,0.0,0.989335,0.848947,0.901748,0.0,0.989745,0.852561,0.907186,0.0,0.979192,0.77535,0.934772,0.677419,0
14,2026-04-22 14:27:16,9.6,14.572537,0.0,2.00e-04,0.175014,0.307943,0.424124,0.93084,0.349603,0.34702,0.178022,0.0,0.51195,0.424396,0.295165,0.0,0.968141,0.618738,0.181513,0.0,0.354504,0.3731,0.93084,0.0,0.7024,0.372518,0.551311,0.0,0
