epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 13:24:35,15.6,0.92485,0.71092,6.00e-05,0.251174,0.256515,0.88156,0.953652,0.885017,0.24549,0.508032,0.0,0.938741,0.354699,0.671143,0.0,0.99476,0.483216,0.521887,0.0,0.889055,0.337546,0.953652,0.0,0.520914,0.204939,0.371058,0.193548,1
2,2026-04-22 13:24:50,14.7,0.646155,0.500621,5.99e-05,0.400503,0.600842,0.936822,0.907238,0.940884,0.532708,0.666907,0.001894,0.969471,0.689609,0.799086,0.003634,0.995022,0.620285,0.717686,0.005859,0.945289,0.810013,0.907238,0.002911,0.836776,0.349472,0.759124,0.69393,1
3,2026-04-22 13:25:05,15.2,0.506284,0.424492,5.99e-05,0.423242,0.667809,0.946764,0.86279,0.952775,0.56643,0.703298,0.0,0.97577,0.719117,0.825045,0.0,0.992565,0.593359,0.791906,0.0,0.959572,0.925514,0.86279,0.0,0.895527,0.361198,0.835775,0.806452,1
4,2026-04-22 13:25:21,14.8,0.435161,0.358857,5.98e-05,0.461142,0.754264,0.956831,0.880598,0.960901,0.64913,0.734297,0.0,0.980026,0.782351,0.846024,0.0,0.988298,0.724001,0.816407,0.0,0.971907,0.863486,0.880598,0.0,0.936004,0.582844,0.873496,0.806452,1
5,2026-04-22 13:25:36,15.0,0.376927,0.334254,5.96e-05,0.477558,0.784231,0.959019,0.930594,0.96177,0.682015,0.750657,0.0,0.980474,0.806152,0.856798,0.0,0.994276,0.777859,0.79548,0.0,0.967087,0.848432,0.930594,0.0,0.945876,0.661781,0.884459,0.806452,1
6,2026-04-22 13:25:51,14.8,0.342741,0.312004,5.95e-05,0.480928,0.781238,0.962467,0.891488,0.967141,0.676883,0.765781,0.000121,0.983263,0.803228,0.866817,0.000241,0.992196,0.723652,0.844893,0.002781,0.974524,0.915542,0.891488,0.000126,0.959098,0.635399,0.897886,0.810429,1
7,2026-04-22 13:26:07,15.2,0.314631,0.295602,5.93e-05,0.497644,0.797306,0.966084,0.918557,0.969675,0.710283,0.782651,0.0,0.984572,0.826498,0.877478,0.0,0.992624,0.799985,0.841042,0.0,0.976681,0.865202,0.918557,0.0,0.967424,0.704981,0.912742,0.774194,1
8,2026-04-22 13:26:22,14.6,0.298955,0.290263,5.91e-05,0.496044,0.811841,0.966046,0.92228,0.970004,0.705185,0.782489,0.00046,0.984745,0.822037,0.877333,0.000907,0.993047,0.802281,0.838046,0.008756,0.976604,0.856941,0.92228,0.000478,0.969621,0.70714,0.91654,0.811843,0
9,2026-04-22 13:26:37,15.1,0.278345,0.273217,5.88e-05,0.517737,0.828228,0.968618,0.922203,0.971638,0.737666,0.796385,0.019161,0.985588,0.845918,0.886033,0.024041,0.993463,0.800482,0.853615,0.022126,0.977865,0.903277,0.922203,0.02632,0.97186,0.732124,0.921957,0.830603,1
10,2026-04-22 13:26:52,14.8,0.271293,0.269132,5.86e-05,0.520025,0.837139,0.969956,0.928977,0.973056,0.739242,0.803255,0.017577,0.986318,0.846078,0.890295,0.023094,0.992471,0.847215,0.855838,0.049865,0.980268,0.852477,0.928977,0.031474,0.975234,0.752586,0.929866,0.828966,1
