epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 11:45:49,27.9,0.81529,0.622588,1.00e-04,0.334091,0.444441,0.932616,0.832544,0.945129,0.334967,0.666963,0.000343,0.971719,0.494553,0.799543,0.000684,0.975762,0.681371,0.7719,0.000402,0.967725,0.399701,0.832544,0.002459,0.901446,0.491955,0.840144,0.001225,1
2,2026-04-22 11:46:16,26.9,0.555761,0.432361,9.99e-05,0.476253,0.522753,0.961893,0.861171,0.967248,0.667422,0.760543,0.000794,0.983325,0.79718,0.863443,0.001575,0.987059,0.731645,0.866379,0.002726,0.979629,0.888458,0.861171,0.001184,0.961011,0.653,0.908986,0.006274,1
3,2026-04-22 11:46:44,26.9,0.436682,0.347933,9.98e-05,0.50313,0.555334,0.968085,0.898094,0.97194,0.711854,0.796953,0.000583,0.985749,0.828727,0.886534,0.001158,0.99011,0.77772,0.875723,0.004297,0.981431,0.894186,0.898094,0.000686,0.972141,0.728356,0.930605,0.00704,1
4,2026-04-22 11:47:11,26.8,0.360996,0.306483,9.96e-05,0.517276,0.568963,0.971858,0.915882,0.975613,0.737603,0.814019,0.000207,0.987636,0.846337,0.89708,0.000413,0.991782,0.818015,0.879492,0.007189,0.983532,0.882117,0.915882,0.000213,0.979284,0.765058,0.937248,0.004582,1
5,2026-04-22 11:47:38,26.1,0.312397,0.287484,9.94e-05,0.516083,0.634909,0.972024,0.934623,0.97579,0.736036,0.812214,0.0,0.987727,0.844031,0.895908,0.0,0.992279,0.880385,0.860693,0.0,0.983224,0.817156,0.934623,0.0,0.979537,0.775795,0.935384,0.193548,0
6,2026-04-22 11:48:04,25.8,0.28529,0.275923,9.91e-05,0.520546,0.66191,0.972432,0.911375,0.976244,0.742677,0.81896,0.0,0.987958,0.850005,0.900101,0.0,0.992675,0.792313,0.889646,0.0,0.983298,0.922635,0.911375,0.0,0.980681,0.754335,0.941072,0.290323,1
7,2026-04-22 11:48:32,26.4,0.26872,0.261901,9.88e-05,0.531427,0.695729,0.97523,0.894405,0.979325,0.75981,0.8286,0.00587,0.989539,0.861351,0.905915,0.009932,0.989743,0.812563,0.918351,0.029081,0.989337,0.922836,0.894405,0.005989,0.984051,0.771277,0.94621,0.369699,1
8,2026-04-22 11:48:59,26.4,0.246386,0.254282,9.84e-05,0.534455,0.755775,0.975625,0.925841,0.979462,0.75458,0.833663,0.015122,0.989609,0.856702,0.908933,0.020591,0.991661,0.871986,0.893124,0.020779,0.98757,0.849065,0.925841,0.020407,0.985534,0.781741,0.948399,0.537186,1
9,2026-04-22 11:49:26,25.6,0.237743,0.251064,9.80e-05,0.533786,0.808862,0.975183,0.929141,0.979306,0.75033,0.831462,0.019565,0.989528,0.854214,0.907634,0.024357,0.992668,0.862843,0.887591,0.023944,0.986417,0.853193,0.929141,0.024785,0.985624,0.774894,0.947208,0.704485,0
10,2026-04-22 11:49:52,26.5,0.234492,0.241739,9.76e-05,0.545075,0.773938,0.976687,0.916745,0.980352,0.77189,0.839011,0.024323,0.990065,0.869133,0.912116,0.027734,0.991816,0.844375,0.907958,0.028262,0.988325,0.90031,0.916745,0.027226,0.986975,0.791729,0.951786,0.578298,1
11,2026-04-22 11:50:20,27.2,0.223888,0.231716,9.71e-05,0.557237,0.772252,0.976953,0.924049,0.980921,0.774694,0.840664,0.056352,0.990356,0.870836,0.91312,0.070332,0.992323,0.867291,0.902967,0.068741,0.988402,0.879212,0.924049,0.073817,0.987248,0.798078,0.949816,0.568862,1
12,2026-04-22 11:50:47,26.0,0.20933,0.231069,9.65e-05,0.558366,0.771597,0.977021,0.910625,0.980745,0.775669,0.841268,0.058161,0.990265,0.871454,0.91347,0.073456,0.991276,0.838003,0.916804,0.122965,0.989261,0.913366,0.910625,0.062725,0.986904,0.789989,0.951177,0.573627,1
13,2026-04-22 11:51:15,26.3,0.21286,0.227437,9.59e-05,0.558689,0.79171,0.977581,0.921646,0.981192,0.782212,0.845156,0.048697,0.990493,0.875942,0.915813,0.058701,0.991878,0.866057,0.91044,0.071813,0.989119,0.889907,0.921646,0.052664,0.988747,0.808003,0.953487,0.613642,1
14,2026-04-22 11:51:42,25.9,0.204567,0.232201,9.53e-05,0.535077,0.767388,0.976286,0.93899,0.981927,0.710559,0.836732,0.057941,0.990868,0.826273,0.910747,0.072484,0.99189,0.92161,0.884698,0.11263,0.989855,0.755127,0.93899,0.064004,0.989015,0.747903,0.945179,0.609081,0
15,2026-04-22 11:52:09,26.6,0.19997,0.216283,9.46e-05,0.564702,0.782108,0.978162,0.916662,0.982075,0.781476,0.848593,0.064037,0.990943,0.875275,0.917828,0.08264,0.991357,0.861484,0.919399,0.120763,0.990535,0.894044,0.916662,0.083038,0.989662,0.803066,0.953946,0.589311,1
16,2026-04-22 11:52:37,27.2,0.201352,0.213991,9.39e-05,0.565983,0.781725,0.978342,0.930091,0.982017,0.788903,0.850352,0.058692,0.990915,0.879974,0.918813,0.076282,0.992587,0.881389,0.908364,0.10375,0.989256,0.882495,0.930091,0.087963,0.990281,0.814421,0.954728,0.576027,1
17,2026-04-22 11:53:05,27.1,0.19885,0.210774,9.31e-05,0.564513,0.8133,0.978305,0.925395,0.981808,0.78531,0.849098,0.059133,0.990806,0.877321,0.918049,0.074367,0.991203,0.895141,0.91112,0.133744,0.990416,0.863845,0.925395,0.075222,0.989831,0.811332,0.954304,0.674265,0
18,2026-04-22 11:53:32,26.9,0.198111,0.211169,9.23e-05,0.560158,0.841254,0.978811,0.928535,0.982986,0.769946,0.851286,0.059242,0.991408,0.866796,0.919266,0.072868,0.991396,0.897485,0.910711,0.107046,0.991426,0.842536,0.928535,0.066733,0.990459,0.800579,0.95378,0.769403,0
19,2026-04-22 11:53:59,26.9,0.202689,0.211716,9.14e-05,0.564123,0.822141,0.978802,0.921336,0.982545,0.787236,0.851587,0.053544,0.991184,0.878556,0.919512,0.071476,0.991121,0.884608,0.918071,0.099736,0.991251,0.876214,0.921336,0.062121,0.990593,0.812416,0.955117,0.698891,0
20,2026-04-22 11:54:25,26.9,0.191845,0.218252,9.05e-05,0.558923,0.760899,0.978132,0.931267,0.982064,0.788151,0.849378,0.039238,0.990938,0.879536,0.918237,0.057061,0.994029,0.856289,0.906036,0.106987,0.987875,0.907731,0.931267,0.04383,0.990977,0.802709,0.953264,0.526725,0
21,2026-04-22 11:54:52,26.8,0.199184,0.226624,8.96e-05,0.550909,0.823928,0.978169,0.919403,0.981831,0.78213,0.847954,0.022641,0.990819,0.875273,0.917404,0.02926,0.990734,0.878666,0.9158,0.052826,0.99091,0.876167,0.919403,0.02405,0.990795,0.806527,0.954476,0.710782,0
22,2026-04-22 11:55:19,26.9,0.186545,0.202089,8.86e-05,0.572569,0.753393,0.979209,0.919137,0.982708,0.798141,0.85403,0.065537,0.991266,0.886202,0.921043,0.08585,0.991833,0.869553,0.923346,0.140619,0.990707,0.907126,0.919137,0.074095,0.991689,0.815098,0.95688,0.488202,1
23,2026-04-22 11:55:47,26.9,0.186562,0.200136,8.76e-05,0.566976,0.825111,0.979354,0.925613,0.983378,0.780969,0.855613,0.064346,0.991608,0.874509,0.92189,0.080861,0.99157,0.889178,0.918542,0.151642,0.991652,0.864141,0.925613,0.068784,0.991631,0.806822,0.955514,0.712995,0
24,2026-04-22 11:56:14,26.9,0.193395,0.217059,8.66e-05,0.56209,0.804785,0.979317,0.924402,0.982892,0.798322,0.855992,0.031956,0.99136,0.886444,0.92219,0.04795,0.992889,0.859165,0.920486,0.122997,0.989844,0.919354,0.924402,0.033156,0.99143,0.8109,0.955356,0.648099,0
25,2026-04-22 11:56:40,26.8,0.182224,0.197682,8.55e-05,0.570503,0.852871,0.979348,0.927093,0.982799,0.795295,0.856224,0.059989,0.991313,0.884679,0.922341,0.074762,0.993204,0.858665,0.918107,0.118841,0.989438,0.916086,0.927093,0.064547,0.992164,0.806969,0.956717,0.794929,0
26,2026-04-22 11:57:07,26.9,0.19128,0.192116,8.44e-05,0.575955,0.841114,0.979491,0.924311,0.982992,0.795995,0.857065,0.074804,0.99141,0.884599,0.92277,0.096004,0.992402,0.867418,0.92174,0.134398,0.990429,0.906443,0.924311,0.088186,0.992218,0.811437,0.957109,0.754797,1
27,2026-04-22 11:57:35,26.9,0.179332,0.19664,8.32e-05,0.570364,0.825179,0.979814,0.926592,0.98374,0.783996,0.858907,0.06819,0.991792,0.875719,0.923736,0.090105,0.99156,0.89406,0.921346,0.118038,0.992032,0.862752,0.926592,0.090753,0.991885,0.80567,0.956963,0.712905,0
28,2026-04-22 11:58:02,26.9,0.173774,0.18843,8.21e-05,0.57473,0.829966,0.979044,0.927732,0.982477,0.79211,0.854795,0.077285,0.991148,0.881864,0.921408,0.094203,0.992687,0.868593,0.915654,0.130859,0.989622,0.899729,0.927732,0.090962,0.99236,0.810091,0.957355,0.722453,0
29,2026-04-22 11:58:29,27.0,0.17604,0.188201,8.08e-05,0.575778,0.829318,0.979991,0.9276,0.983695,0.789028,0.859702,0.078605,0.991769,0.879599,0.924251,0.094233,0.991929,0.888864,0.921381,0.146768,0.991617,0.87463,0.9276,0.085299,0.992515,0.810876,0.957762,0.719317,0
30,2026-04-22 11:58:56,26.9,0.177583,0.194442,7.96e-05,0.569295,0.845449,0.979135,0.92816,0.982772,0.788092,0.854709,0.065083,0.991298,0.879255,0.921361,0.08208,0.992631,0.874625,0.915077,0.115761,0.989979,0.88836,0.92816,0.068967,0.992647,0.807553,0.956676,0.772119,0
31,2026-04-22 11:59:23,26.9,0.174551,0.18734,7.83e-05,0.57321,0.782676,0.979621,0.924015,0.98367,0.785422,0.856861,0.077346,0.991757,0.87739,0.922597,0.091879,0.992359,0.869181,0.921636,0.109852,0.991162,0.889906,0.924015,0.086566,0.993096,0.804822,0.956262,0.586944,0
32,2026-04-22 11:59:50,26.9,0.176924,0.18772,7.70e-05,0.57415,0.836651,0.979688,0.92722,0.983458,0.789612,0.857424,0.075413,0.991648,0.880148,0.922939,0.089691,0.99244,0.879086,0.919177,0.093743,0.990865,0.885492,0.92722,0.090278,0.993189,0.808904,0.957954,0.743094,0
33,2026-04-22 12:00:16,26.9,0.177446,0.188321,7.57e-05,0.573341,0.83597,0.979712,0.926629,0.983498,0.790378,0.857925,0.071718,0.991668,0.880871,0.923268,0.087971,0.992592,0.870559,0.920377,0.113744,0.990755,0.895412,0.926629,0.078506,0.992955,0.808184,0.957335,0.74239,0
34,2026-04-22 12:00:43,26.9,0.180319,0.190426,7.43e-05,0.563363,0.809889,0.978758,0.949054,0.982996,0.763433,0.85307,0.073587,0.991413,0.862145,0.920379,0.088392,0.994684,0.896894,0.893837,0.11277,0.988174,0.835482,0.949054,0.079464,0.992149,0.793878,0.954825,0.680963,0
35,2026-04-22 12:01:10,27.0,0.172118,0.186232,7.30e-05,0.574978,0.820285,0.979628,0.913055,0.983295,0.792086,0.856275,0.076572,0.991565,0.881661,0.922269,0.095826,0.990928,0.863954,0.932088,0.132995,0.992208,0.903443,0.913055,0.094851,0.992131,0.810922,0.95735,0.692584,0
36,2026-04-22 12:01:37,27.0,0.176789,0.186958,7.16e-05,0.573711,0.831782,0.979688,0.928506,0.983455,0.783602,0.85754,0.079993,0.991646,0.876147,0.923013,0.100444,0.991681,0.8946,0.917976,0.134074,0.991617,0.861969,0.928506,0.096205,0.992718,0.810239,0.957974,0.727132,0
37,2026-04-22 12:02:04,26.9,0.165211,0.181836,7.02e-05,0.579539,0.810031,0.979816,0.919586,0.983661,0.786669,0.858075,0.093873,0.991751,0.878533,0.923346,0.115605,0.992127,0.855837,0.927612,0.147037,0.991383,0.907016,0.919586,0.101896,0.992887,0.798844,0.956579,0.674672,1
38,2026-04-22 12:02:32,26.9,0.179126,0.189339,6.87e-05,0.571342,0.857858,0.979899,0.928812,0.983628,0.790264,0.859358,0.064405,0.991735,0.880487,0.924041,0.0808,0.992611,0.877709,0.919808,0.095348,0.990867,0.887384,0.928812,0.084904,0.993253,0.810399,0.958467,0.804707,0
39,2026-04-22 12:02:59,26.9,0.174287,0.181318,6.73e-05,0.579206,0.850689,0.980383,0.928964,0.983922,0.797838,0.862086,0.077694,0.991885,0.885479,0.925648,0.092229,0.992822,0.875475,0.922807,0.11117,0.990956,0.898988,0.928964,0.087357,0.993257,0.81325,0.958592,0.780225,0
40,2026-04-22 12:03:25,26.4,0.176428,0.190028,6.58e-05,0.566162,0.843206,0.97959,0.932901,0.983506,0.77695,0.857284,0.064253,0.991672,0.871067,0.922855,0.081607,0.992226,0.901463,0.913496,0.083118,0.991127,0.848852,0.932901,0.092085,0.993294,0.80419,0.957352,0.768075,0
41,2026-04-22 12:03:51,26.0,0.175542,0.185259,6.43e-05,0.575734,0.863325,0.980135,0.923532,0.983571,0.801515,0.860009,0.065677,0.991705,0.887921,0.924476,0.079431,0.992047,0.875202,0.925806,0.100215,0.99137,0.903962,0.923532,0.088478,0.993206,0.822997,0.960182,0.806795,0
42,2026-04-22 12:04:17,25.9,0.160247,0.189268,6.28e-05,0.572423,0.83581,0.980257,0.930526,0.983831,0.795982,0.861802,0.059485,0.991838,0.884442,0.925499,0.075655,0.99303,0.876044,0.920962,0.086892,0.990657,0.897148,0.930526,0.093802,0.993377,0.812965,0.959238,0.735227,0
43,2026-04-22 12:04:43,26.1,0.167326,0.184958,6.13e-05,0.577997,0.812763,0.980093,0.924214,0.983805,0.796702,0.860456,0.076832,0.991825,0.884547,0.924698,0.096555,0.991912,0.881835,0.925656,0.122255,0.991744,0.891167,0.924214,0.105775,0.993099,0.818162,0.958785,0.661344,0
44,2026-04-22 12:05:09,26.0,0.18168,0.184649,5.98e-05,0.572638,0.8307,0.979897,0.930135,0.984052,0.780336,0.859428,0.078149,0.991951,0.87374,0.9241,0.097801,0.992109,0.898116,0.918642,0.121188,0.9918,0.855825,0.930135,0.108778,0.993472,0.805898,0.95755,0.728652,0
45,2026-04-22 12:05:35,26.1,0.173757,0.177164,5.82e-05,0.583274,0.862087,0.98038,0.929751,0.983863,0.802081,0.862304,0.085438,0.991855,0.888046,0.925764,0.105173,0.992846,0.879167,0.922308,0.132579,0.990872,0.900121,0.929751,0.106406,0.993589,0.823183,0.960372,0.802706,1
46,2026-04-22 12:06:02,26.0,0.166462,0.183347,5.67e-05,0.575205,0.857859,0.980291,0.921307,0.984135,0.794295,0.861103,0.070216,0.991993,0.883109,0.925052,0.086683,0.992394,0.859788,0.929352,0.112387,0.9916,0.911901,0.921307,0.07718,0.993512,0.808667,0.958285,0.806624,0
47,2026-04-22 12:06:28,26.0,0.167944,0.171486,5.52e-05,0.587473,0.872302,0.981321,0.937003,0.984724,0.803274,0.86832,0.090824,0.992293,0.888846,0.929221,0.107394,0.993494,0.887853,0.922004,0.145744,0.991103,0.893124,0.937003,0.100847,0.993409,0.822598,0.959906,0.834401,1
48,2026-04-22 12:06:55,26.0,0.165822,0.185039,5.36e-05,0.577407,0.859655,0.981076,0.931334,0.984406,0.804313,0.867195,0.060713,0.992131,0.889645,0.928605,0.077899,0.99275,0.886113,0.926293,0.088299,0.991519,0.896739,0.931334,0.09236,0.993593,0.823241,0.960911,0.794812,0
49,2026-04-22 12:07:21,26.1,0.157884,0.178305,5.21e-05,0.578538,0.85062,0.980383,0.930405,0.984134,0.796832,0.861575,0.077207,0.991992,0.88492,0.925362,0.09246,0.993879,0.859107,0.920912,0.105753,0.990121,0.916855,0.930405,0.087309,0.993338,0.813228,0.958218,0.780414,0
50,2026-04-22 12:07:47,26.0,0.156121,0.176669,5.05e-05,0.580458,0.853222,0.98064,0.939011,0.984032,0.799404,0.864,0.077969,0.991941,0.886467,0.926728,0.091908,0.99349,0.894483,0.915209,0.107351,0.990404,0.881972,0.939011,0.09103,0.993649,0.822057,0.959522,0.778086,0
51,2026-04-22 12:08:13,26.0,0.168349,0.174974,4.89e-05,0.579997,0.844439,0.980612,0.925374,0.984219,0.796309,0.863269,0.080414,0.992035,0.884579,0.926349,0.097178,0.992236,0.875258,0.927785,0.103686,0.991841,0.89784,0.925374,0.094864,0.993783,0.815967,0.959275,0.758075,0
52,2026-04-22 12:08:39,26.0,0.166915,0.173004,4.74e-05,0.583361,0.836279,0.980698,0.924642,0.984028,0.805129,0.863677,0.081277,0.991938,0.890291,0.926598,0.095152,0.992045,0.878309,0.928975,0.110642,0.991838,0.905747,0.924642,0.092724,0.993742,0.824205,0.960254,0.724378,0
53,2026-04-22 12:09:05,26.1,0.163503,0.172874,4.58e-05,0.582237,0.856603,0.980808,0.929343,0.984473,0.800563,0.864751,0.081396,0.992165,0.887192,0.927182,0.095348,0.993317,0.867583,0.925604,0.113356,0.991024,0.911684,0.929343,0.091942,0.993722,0.819093,0.959659,0.791058,0
54,2026-04-22 12:09:31,26.0,0.168683,0.178789,4.43e-05,0.578587,0.862747,0.980695,0.931359,0.984327,0.797876,0.864143,0.073741,0.99209,0.885417,0.926821,0.089828,0.992789,0.885853,0.922814,0.11032,0.991399,0.88861,0.931359,0.083043,0.993769,0.820567,0.959656,0.808019,0
55,2026-04-22 12:09:57,26.0,0.166599,0.17207,4.28e-05,0.584831,0.839306,0.980853,0.928653,0.984425,0.798138,0.865035,0.09132,0.992141,0.885421,0.927323,0.111614,0.992112,0.890487,0.926481,0.147186,0.992176,0.884419,0.928653,0.099821,0.993551,0.820802,0.95973,0.737385,0
56,2026-04-22 12:10:23,26.0,0.16092,0.168108,4.12e-05,0.586905,0.841973,0.981026,0.935905,0.984635,0.797794,0.866816,0.096105,0.992247,0.885181,0.928363,0.114677,0.993041,0.895352,0.921429,0.13832,0.991462,0.87869,0.935905,0.112031,0.993912,0.822094,0.960166,0.743659,0
57,2026-04-22 12:10:49,26.0,0.167437,0.171536,3.97e-05,0.583836,0.848305,0.980772,0.926636,0.984268,0.801852,0.864362,0.085295,0.99206,0.888013,0.926962,0.10142,0.99242,0.877495,0.927753,0.138302,0.991708,0.902421,0.926636,0.09858,0.993797,0.820064,0.960158,0.764693,0
58,2026-04-22 12:11:15,26.0,0.161447,0.172259,3.82e-05,0.582398,0.860532,0.980713,0.932061,0.984303,0.795979,0.86434,0.086876,0.992078,0.884105,0.926937,0.103075,0.99247,0.895989,0.922323,0.139159,0.991693,0.876336,0.932061,0.100406,0.993711,0.820412,0.959419,0.801765,0
59,2026-04-22 12:11:41,26.0,0.156638,0.171708,3.67e-05,0.581009,0.85529,0.980781,0.922608,0.984497,0.798051,0.86348,0.081495,0.992177,0.885553,0.926418,0.09773,0.992542,0.863834,0.930719,0.142271,0.991819,0.912162,0.922608,0.091334,0.993831,0.817969,0.959392,0.788509,0
60,2026-04-22 12:12:07,25.9,0.174623,0.181001,3.52e-05,0.573929,0.867679,0.980343,0.93453,0.984299,0.786298,0.862596,0.072893,0.992076,0.87734,0.925925,0.08294,0.992825,0.894554,0.917985,0.081047,0.991336,0.865394,0.93453,0.084965,0.993825,0.811403,0.959256,0.832378,0
61,2026-04-22 12:12:33,26.0,0.15932,0.167344,3.37e-05,0.586868,0.850644,0.980734,0.931051,0.98431,0.801111,0.864537,0.094958,0.992082,0.887529,0.927061,0.110079,0.99326,0.874672,0.923583,0.144455,0.990914,0.90443,0.931051,0.10677,0.993736,0.821003,0.95955,0.771379,0
62,2026-04-22 12:12:59,26.0,0.163663,0.170606,3.23e-05,0.582151,0.856827,0.980691,0.93617,0.984312,0.79297,0.864339,0.089145,0.992083,0.882259,0.926959,0.104643,0.993046,0.895682,0.918356,0.109422,0.99113,0.872822,0.93617,0.10215,0.993874,0.816415,0.959579,0.794488,0
