epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 16:19:46,26.4,0.596063,0.438587,1.00e-04,0.402974,0.42143,0.939874,0.878558,0.9456,0.494442,0.714137,0.000343,0.97193,0.657958,0.832873,0.000679,0.997269,0.51495,0.793132,0.032258,0.948013,0.927835,0.878558,0.000343,0.835189,0.16007,0.807194,0.297026,1
2,2026-04-22 16:20:12,26.1,0.375606,0.342175,9.99e-05,0.479047,0.583664,0.96455,0.919251,0.971605,0.644701,0.790602,0.001839,0.985572,0.776353,0.882761,0.003565,0.99434,0.776381,0.84989,0.00279,0.976983,0.808311,0.919251,0.015567,0.965463,0.613188,0.902078,0.235726,1
3,2026-04-22 16:20:39,26.0,0.298125,0.276368,9.98e-05,0.518555,0.817428,0.971608,0.911574,0.975871,0.745027,0.810062,0.000576,0.987767,0.850496,0.894596,0.001132,0.992526,0.806354,0.878901,0.006764,0.983064,0.908753,0.911574,0.000618,0.981618,0.707966,0.926048,0.81827,1
4,2026-04-22 16:21:06,26.0,0.248862,0.253615,9.96e-05,0.533137,0.816908,0.974061,0.90002,0.977797,0.767071,0.821772,0.010568,0.988755,0.865816,0.90185,0.017636,0.990601,0.823869,0.904152,0.039385,0.986925,0.918992,0.90002,0.012204,0.987278,0.736467,0.936247,0.77801,1
5,2026-04-22 16:21:33,26.0,0.226418,0.240102,9.94e-05,0.538499,0.797626,0.974153,0.882608,0.977982,0.763351,0.818611,0.033534,0.98885,0.862983,0.899893,0.043345,0.987422,0.835792,0.918852,0.076583,0.990295,0.902201,0.882608,0.040186,0.987957,0.731788,0.937062,0.724028,1
6,2026-04-22 16:22:00,26.0,0.210256,0.24597,9.91e-05,0.526897,0.811603,0.972757,0.894811,0.977064,0.730716,0.817087,0.032888,0.988366,0.824986,0.898764,0.043273,0.987021,0.876012,0.904098,0.054824,0.989719,0.831089,0.894811,0.036875,0.984574,0.709149,0.934799,0.790861,0
7,2026-04-22 16:22:26,26.9,0.195643,0.245677,9.88e-05,0.534968,0.700921,0.971439,0.890738,0.975285,0.755739,0.811107,0.038057,0.98741,0.855915,0.894748,0.047085,0.985858,0.861571,0.900355,0.05799,0.989019,0.859298,0.890738,0.040604,0.976358,0.7372,0.927664,0.437898,0
8,2026-04-22 16:22:53,26.8,0.19173,1.291237,9.84e-05,0.458085,0.497299,0.347409,0.830155,0.25349,0.681822,0.69197,0.000465,0.40219,0.806466,0.817176,0.000925,0.973372,0.757576,0.806152,0.000465,0.255376,0.883319,0.830155,0.102854,0.783576,0.661216,0.826023,0.004658,0
9,2026-04-22 16:23:20,26.6,0.183528,0.227913,9.80e-05,0.546901,0.785947,0.975963,0.90142,0.979946,0.774822,0.831748,0.034134,0.989855,0.86908,0.907847,0.043686,0.989444,0.863782,0.915529,0.059489,0.990275,0.888802,0.90142,0.035351,0.990791,0.753666,0.943944,0.660232,1
10,2026-04-22 16:23:47,26.6,0.181686,0.209322,9.76e-05,0.560717,0.792806,0.97617,0.896366,0.979835,0.776131,0.83241,0.073611,0.989798,0.8707,0.908228,0.091328,0.987978,0.869427,0.921583,0.110396,0.991636,0.882508,0.896366,0.08184,0.991331,0.755999,0.946497,0.675921,1
11,2026-04-22 16:24:14,26.1,0.176916,0.213129,9.71e-05,0.564915,0.795824,0.976949,0.91786,0.980685,0.781501,0.840018,0.073225,0.990233,0.874272,0.912676,0.090381,0.991205,0.877208,0.908342,0.107067,0.989272,0.879538,0.91786,0.095443,0.991708,0.759283,0.947042,0.681148,1
12,2026-04-22 16:24:41,26.1,0.17766,0.231909,9.65e-05,0.561199,0.84562,0.975781,0.93147,0.97966,0.778606,0.835435,0.069554,0.989707,0.872251,0.909956,0.08609,0.993929,0.85914,0.890516,0.098494,0.985541,0.894632,0.93147,0.079259,0.991378,0.755741,0.946114,0.835005,0
13,2026-04-22 16:25:07,26.0,0.169935,0.197195,9.59e-05,0.567953,0.825217,0.977307,0.907881,0.981699,0.780504,0.841988,0.081367,0.99075,0.874007,0.913916,0.096605,0.991524,0.841252,0.920965,0.117573,0.989987,0.918491,0.907881,0.088984,0.992702,0.752219,0.945544,0.777888,1
14,2026-04-22 16:25:34,26.1,0.17101,0.19967,9.53e-05,0.565496,0.83411,0.978075,0.91553,0.982287,0.778285,0.846754,0.071449,0.99105,0.87213,0.91671,0.089067,0.992237,0.847904,0.919078,0.122664,0.989877,0.908642,0.91553,0.07415,0.992973,0.751293,0.947226,0.803811,0
15,2026-04-22 16:26:00,26.1,0.162054,0.288462,9.46e-05,0.471768,0.802824,0.91594,0.927472,0.907847,0.781704,0.576834,0.056765,0.951502,0.874618,0.728952,0.070822,0.993239,0.851438,0.603876,0.077605,0.913447,0.908876,0.927472,0.066718,0.8761,0.753835,0.809471,0.845167,0
16,2026-04-22 16:26:26,26.1,0.159821,0.189266,9.39e-05,0.570015,0.827677,0.978326,0.916888,0.982802,0.773824,0.848762,0.087457,0.991314,0.86839,0.917805,0.103532,0.990842,0.880563,0.919774,0.11341,0.991795,0.866645,0.916888,0.098073,0.993195,0.748692,0.948043,0.786296,1
17,2026-04-22 16:26:53,26.1,0.164477,0.199623,9.31e-05,0.572181,0.79948,0.978689,0.917833,0.982926,0.786742,0.852329,0.07747,0.991377,0.877126,0.919935,0.095185,0.990958,0.884262,0.92291,0.112025,0.991804,0.87961,0.917833,0.086733,0.993162,0.764851,0.948932,0.684656,1
18,2026-04-22 16:27:20,26.1,0.162223,0.186883,9.23e-05,0.573747,0.811484,0.978804,0.934124,0.983008,0.790177,0.85367,0.077394,0.991418,0.879391,0.920716,0.097853,0.993559,0.882981,0.908641,0.136076,0.989296,0.884216,0.934124,0.088672,0.992333,0.764452,0.947669,0.722332,1
19,2026-04-22 16:27:47,26.0,0.155506,0.19802,9.14e-05,0.56185,0.837445,0.97945,0.934588,0.984103,0.762709,0.856227,0.066615,0.991976,0.859413,0.922027,0.078714,0.99233,0.90051,0.910691,0.090674,0.991629,0.832522,0.934588,0.069836,0.993932,0.740145,0.949528,0.822662,0
20,2026-04-22 16:28:13,26.2,0.152887,0.174533,9.05e-05,0.582465,0.862064,0.979177,0.909421,0.98296,0.792856,0.853142,0.101397,0.991394,0.881553,0.920482,0.114276,0.989898,0.87591,0.932797,0.11912,0.992905,0.895245,0.909421,0.110265,0.993224,0.770952,0.950926,0.864316,1
21,2026-04-22 16:28:40,26.1,0.164217,0.187233,8.96e-05,0.569434,0.870057,0.979446,0.925835,0.983234,0.787727,0.856739,0.063836,0.991534,0.878428,0.922545,0.082567,0.992143,0.877508,0.919937,0.118812,0.990935,0.886992,0.925835,0.067782,0.992634,0.76792,0.950378,0.891873,0
22,2026-04-22 16:29:06,26.0,0.15424,0.211419,8.86e-05,0.553364,0.839378,0.979867,0.92655,0.983858,0.78753,0.857953,0.014608,0.991851,0.878199,0.923235,0.02461,0.992151,0.881942,0.920719,0.094769,0.991563,0.881308,0.92655,0.014694,0.993684,0.76343,0.949499,0.805204,0
23,2026-04-22 16:29:33,26.1,0.166328,0.180513,8.76e-05,0.577987,0.842359,0.980011,0.933035,0.984102,0.792886,0.860447,0.080627,0.991975,0.881651,0.924654,0.094171,0.994044,0.867151,0.917143,0.116829,0.989927,0.903232,0.933035,0.089225,0.993445,0.76938,0.950788,0.806907,0
24,2026-04-22 16:29:59,26.1,0.153685,0.17623,8.66e-05,0.577305,0.852269,0.980095,0.916401,0.983724,0.797004,0.859685,0.075225,0.991782,0.884557,0.924252,0.084594,0.990836,0.87814,0.932916,0.087845,0.992741,0.896933,0.916401,0.081724,0.993873,0.773707,0.952367,0.830732,0
25,2026-04-22 16:30:25,26.0,0.151557,0.178593,8.55e-05,0.580246,0.802109,0.979955,0.931847,0.984409,0.784642,0.860488,0.095609,0.992131,0.875286,0.924597,0.109595,0.992824,0.892107,0.918272,0.110984,0.991449,0.86745,0.931847,0.108964,0.993489,0.762337,0.949215,0.694776,0
26,2026-04-22 16:30:51,26.1,0.155057,0.166274,8.44e-05,0.591026,0.836669,0.981005,0.925028,0.984943,0.795765,0.865946,0.111367,0.992403,0.883448,0.927833,0.130447,0.992947,0.860217,0.931305,0.143925,0.991871,0.914453,0.925028,0.123243,0.994357,0.771027,0.953177,0.785803,1
27,2026-04-22 16:31:18,26.1,0.144197,0.174521,8.32e-05,0.583619,0.847227,0.9811,0.921724,0.985079,0.794059,0.866363,0.090436,0.992472,0.88232,0.928089,0.10559,0.991695,0.878166,0.935263,0.120528,0.993261,0.89308,0.921724,0.095646,0.994725,0.769789,0.953234,0.818657,0
28,2026-04-22 16:31:44,26.2,0.148648,0.171027,8.21e-05,0.582435,0.828,0.979942,0.922116,0.984236,0.793366,0.860365,0.093575,0.992043,0.882348,0.92469,0.117243,0.992859,0.857955,0.928041,0.136151,0.991243,0.914563,0.922116,0.108212,0.99327,0.763618,0.948611,0.771772,0
29,2026-04-22 16:32:10,26.1,0.152792,0.179836,8.08e-05,0.582633,0.73484,0.980564,0.918367,0.985302,0.789767,0.86314,0.094992,0.992586,0.879029,0.926227,0.114487,0.991598,0.885416,0.935147,0.106255,0.993586,0.882063,0.918367,0.141596,0.994726,0.769032,0.950134,0.485353,0
30,2026-04-22 16:32:36,25.9,0.14056,0.199999,7.96e-05,0.562845,0.853911,0.981407,0.918931,0.985885,0.789763,0.866296,0.032474,0.992882,0.879689,0.928029,0.042304,0.992949,0.849432,0.938214,0.060877,0.992826,0.919938,0.918931,0.033937,0.994836,0.760731,0.950107,0.850896,0
