epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-27 16:25:25,29.4,1.949824,0.63529,1.00e-04,0.200853,0.255618,0.720788,0.769952,0.725234,0.044785,0.557641,0.000134,0.838325,0.084906,0.715027,0.000268,0.995166,0.0483,0.684329,0.000195,0.727336,0.363854,0.769952,0.000823,0.149159,0.088047,0.678006,0.0008,1
2,2026-04-27 16:25:53,28.1,0.619193,0.455701,9.99e-05,0.348083,0.391824,0.944237,0.924057,0.957347,0.333381,0.710236,0.000631,0.978169,0.490227,0.829785,0.001244,0.991886,0.518475,0.757166,0.002597,0.964854,0.485372,0.924057,0.000875,0.895741,0.327959,0.842278,0.005236,1
3,2026-04-27 16:26:23,28.3,0.435204,0.355462,9.98e-05,0.460173,0.499182,0.966694,0.922895,0.975054,0.594215,0.785391,0.000913,0.987349,0.738644,0.879315,0.00179,0.9907,0.822971,0.841011,0.003689,0.984024,0.684351,0.922895,0.001344,0.979162,0.583992,0.907902,0.005653,1
4,2026-04-27 16:26:53,28.7,0.375332,0.348998,9.96e-05,0.466268,0.47697,0.960782,0.917612,0.966217,0.618633,0.77993,0.000241,0.982776,0.760786,0.875977,0.000479,0.994489,0.700351,0.838797,0.000369,0.971378,0.846667,0.917612,0.000813,0.947314,0.534464,0.894603,0.001845,1
5,2026-04-27 16:27:23,28.4,0.307834,0.310753,9.94e-05,0.480028,0.499789,0.967215,0.882021,0.97475,0.63605,0.802853,0.001182,0.987194,0.774614,0.890341,0.00228,0.992452,0.675702,0.899399,0.021318,0.981998,0.920378,0.882021,0.001204,0.965932,0.507862,0.916912,0.074592,1
6,2026-04-27 16:27:52,28.1,0.268473,0.271098,9.91e-05,0.510469,0.586655,0.974419,0.917436,0.980255,0.700439,0.830747,0.000222,0.990014,0.820145,0.907176,0.00044,0.991529,0.824603,0.897508,0.030108,0.988507,0.824581,0.917436,0.000222,0.984534,0.664363,0.93042,0.165181,1
7,2026-04-27 16:28:22,28.0,0.24246,0.264121,9.88e-05,0.523319,0.736028,0.975278,0.910225,0.98032,0.735706,0.834251,0.0,0.990047,0.844939,0.90931,0.0,0.992666,0.798354,0.908857,0.0,0.987449,0.906975,0.910225,0.0,0.983564,0.697242,0.930197,0.580645,1
8,2026-04-27 16:28:51,28.2,0.232139,0.277485,9.84e-05,0.507646,0.591166,0.972676,0.912776,0.978643,0.695726,0.827211,0.0,0.989187,0.817647,0.90512,0.0,0.992635,0.777536,0.898199,0.0,0.985771,0.874403,0.912776,0.0,0.975228,0.62395,0.923742,0.225806,0
9,2026-04-27 16:29:20,28.3,0.215598,0.246212,9.80e-05,0.530237,0.629831,0.977486,0.90601,0.983079,0.745952,0.84476,0.0,0.991456,0.852075,0.915564,0.0,0.992359,0.80344,0.925822,0.0,0.990557,0.914612,0.90601,0.0,0.989643,0.697031,0.934397,0.258065,1
10,2026-04-27 16:29:49,28.1,0.204781,0.273798,9.76e-05,0.538578,0.69964,0.974992,0.90623,0.979569,0.738953,0.834937,0.041843,0.98966,0.847298,0.909704,0.055247,0.990643,0.809847,0.91378,0.066374,0.988692,0.897473,0.90623,0.047653,0.979633,0.69118,0.93109,0.476649,1
11,2026-04-27 16:30:19,28.3,0.203576,0.229031,9.71e-05,0.559546,0.775035,0.979373,0.928278,0.984126,0.761302,0.858851,0.058484,0.991989,0.861862,0.923788,0.072215,0.994523,0.825878,0.919823,0.088045,0.989474,0.908648,0.928278,0.064773,0.990584,0.724656,0.942207,0.658243,1
12,2026-04-27 16:30:48,28.1,0.196265,0.233048,9.65e-05,0.558991,0.749617,0.979519,0.919912,0.984208,0.76515,0.859756,0.052067,0.992031,0.864697,0.924348,0.066294,0.993318,0.825943,0.929181,0.078761,0.990751,0.914601,0.919912,0.060524,0.987256,0.719978,0.940431,0.588442,0
13,2026-04-27 16:31:16,28.2,0.18817,0.229105,9.59e-05,0.559853,0.768047,0.979612,0.936544,0.983926,0.754926,0.861631,0.063001,0.991886,0.857995,0.925336,0.078302,0.992769,0.882631,0.914796,0.094689,0.991011,0.841724,0.936544,0.078855,0.987273,0.729427,0.941811,0.632904,1
14,2026-04-27 16:31:46,28.2,0.181598,0.248386,9.53e-05,0.547072,0.649011,0.977565,0.904357,0.983516,0.724623,0.852812,0.063781,0.991678,0.837782,0.920269,0.079271,0.993846,0.757683,0.937309,0.101684,0.989525,0.945388,0.904357,0.079499,0.984778,0.667901,0.938091,0.341041,0
15,2026-04-27 16:32:14,28.2,0.177208,0.237968,9.46e-05,0.554375,0.629515,0.978114,0.921591,0.982529,0.764567,0.854612,0.043944,0.991173,0.864314,0.921407,0.0619,0.992329,0.848797,0.921649,0.050424,0.990032,0.887031,0.921591,0.085709,0.983695,0.730826,0.93728,0.22044,0
16,2026-04-27 16:32:42,28.2,0.182991,0.243023,9.39e-05,0.55603,0.757884,0.978958,0.922128,0.984241,0.738996,0.862758,0.066336,0.992047,0.847469,0.925994,0.083429,0.995226,0.780573,0.930352,0.090863,0.988895,0.932844,0.922128,0.086734,0.986517,0.692763,0.943146,0.637742,0
