epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 17:29:01,25.9,0.6339,0.511236,6.00e-05,0.346205,0.587799,0.927801,0.96052,0.935335,0.401144,0.63747,0.0,0.966449,0.557514,0.777368,0.0,0.998785,0.61952,0.654626,0.0,0.936385,0.521681,0.96052,0.0,0.74044,0.327224,0.629723,0.806452,1
2,2026-04-22 17:29:27,25.5,0.472616,0.415502,5.99e-05,0.436187,0.671224,0.954674,0.908276,0.961963,0.563797,0.744763,0.0,0.980578,0.716302,0.853086,0.0,0.997668,0.616242,0.805896,0.0,0.964116,0.87015,0.908276,0.0,0.913887,0.350523,0.856698,0.806452,1
3,2026-04-22 17:29:52,25.5,0.389856,0.352372,5.99e-05,0.476464,0.741717,0.963919,0.934149,0.969487,0.647569,0.781823,0.0,0.984486,0.781983,0.877029,0.0,0.998296,0.709711,0.827667,0.0,0.971084,0.883437,0.934149,0.0,0.959739,0.517081,0.901619,0.806452,1
4,2026-04-22 17:30:18,25.5,0.326591,0.301053,5.98e-05,0.510185,0.795795,0.973925,0.899805,0.98025,0.707662,0.822892,0.0,0.990014,0.824808,0.902365,0.0,0.993288,0.755251,0.905601,0.0,0.98677,0.916768,0.899805,0.0,0.987608,0.654402,0.926531,0.806452,1
5,2026-04-22 17:30:44,25.6,0.28711,0.276683,5.96e-05,0.521333,0.808449,0.975389,0.924207,0.980737,0.730903,0.833097,0.0,0.990262,0.840942,0.908538,0.0,0.994773,0.798581,0.893883,0.0,0.985803,0.89492,0.924207,0.0,0.988045,0.686551,0.932345,0.806452,1
6,2026-04-22 17:31:10,25.6,0.266696,0.2641,5.95e-05,0.523527,0.811439,0.976391,0.900776,0.982175,0.735234,0.835348,0.0,0.990995,0.844339,0.909918,0.0,0.991429,0.803296,0.919887,0.0,0.990568,0.897636,0.900776,0.0,0.991119,0.69309,0.934775,0.806452,1
7,2026-04-22 17:31:36,25.5,0.247642,0.252242,5.93e-05,0.529748,0.818314,0.976984,0.93218,0.98199,0.745885,0.84336,0.0,0.990901,0.85148,0.914712,0.0,0.994864,0.824806,0.898356,0.0,0.986981,0.885809,0.93218,0.0,0.990314,0.710919,0.93757,0.806452,1
8,2026-04-22 17:32:03,25.6,0.229193,0.246507,5.91e-05,0.538904,0.828393,0.978759,0.92135,0.983442,0.765029,0.851684,0.0,0.99164,0.864211,0.919599,0.0,0.992553,0.848794,0.918285,0.0,0.990737,0.885506,0.92135,0.0,0.992403,0.735182,0.943546,0.806452,1
9,2026-04-22 17:32:29,25.6,0.2136,0.243044,5.88e-05,0.538477,0.829047,0.979007,0.923926,0.983698,0.762591,0.852841,0.0,0.991771,0.862363,0.920258,0.0,0.991948,0.869285,0.917091,0.0,0.991603,0.86116,0.923926,0.0,0.992912,0.73552,0.945168,0.806452,0
10,2026-04-22 17:32:54,25.6,0.210415,0.237496,5.86e-05,0.544392,0.834182,0.979897,0.919383,0.984356,0.775598,0.857579,0.0,0.992106,0.870944,0.923004,0.0,0.992152,0.860012,0.927118,0.0,0.992069,0.887245,0.919383,0.0,0.993276,0.749456,0.946637,0.806452,1
11,2026-04-22 17:33:20,25.6,0.205739,0.235614,5.83e-05,0.542755,0.829708,0.979598,0.912773,0.984559,0.773034,0.855232,0.0,0.992209,0.869745,0.921655,0.0,0.993445,0.82204,0.931608,0.0,0.990987,0.929524,0.912773,0.0,0.993059,0.739599,0.943072,0.806452,0
12,2026-04-22 17:33:46,25.6,0.205366,0.232937,5.79e-05,0.543068,0.832866,0.980088,0.928522,0.984729,0.769845,0.859359,0.0,0.992295,0.867208,0.924022,0.0,0.992869,0.875186,0.920035,0.0,0.991732,0.865113,0.928522,0.0,0.993351,0.745398,0.946748,0.806452,0
13,2026-04-22 17:34:12,25.8,0.193008,0.218811,5.76e-05,0.576341,0.700713,0.98066,0.922154,0.984664,0.794125,0.863535,0.071364,0.992262,0.883475,0.926474,0.088917,0.993616,0.852799,0.931551,0.11559,0.990925,0.921691,0.922154,0.077424,0.99339,0.762789,0.947616,0.391734,1
14,2026-04-22 17:34:38,25.8,0.195664,0.215064,5.72e-05,0.577272,0.661365,0.980014,0.90657,0.984775,0.790916,0.857818,0.083081,0.992319,0.881363,0.923178,0.106119,0.99193,0.846594,0.940972,0.132144,0.992718,0.924185,0.90657,0.097982,0.993805,0.756051,0.943701,0.284343,1
