epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 15:40:09,40.3,0.662116,0.510426,1.00e-04,0.399881,0.364927,0.942548,0.902326,0.948463,0.430124,0.769078,0.000442,0.973476,0.597488,0.869024,0.00088,0.996659,0.464823,0.838935,0.000834,0.951458,0.846075,0.902326,0.000986,0.843162,0.214181,0.873871,0.006729,1
2,2026-04-22 15:40:49,40.0,0.417352,0.358935,9.99e-05,0.515743,0.513163,0.974599,0.916416,0.980115,0.706106,0.84095,0.000174,0.989944,0.824955,0.913297,0.000348,0.994393,0.75351,0.910818,0.001184,0.985546,0.918986,0.916416,0.000216,0.977609,0.605665,0.93037,0.003453,1
3,2026-04-22 15:41:29,40.0,0.323683,0.28674,9.98e-05,0.545192,0.566686,0.978821,0.943289,0.983314,0.771707,0.857577,0.006294,0.991574,0.869127,0.923123,0.010532,0.995829,0.850476,0.904148,0.023196,0.987366,0.89536,0.943289,0.006813,0.986365,0.745544,0.936535,0.017977,1
4,2026-04-22 15:42:10,39.9,0.266256,0.256309,9.96e-05,0.54114,0.589537,0.978274,0.902287,0.985124,0.738189,0.850324,0.034907,0.992495,0.845911,0.918773,0.048018,0.993466,0.788338,0.936524,0.039638,0.991534,0.925256,0.902287,0.075886,0.989284,0.688995,0.932909,0.146708,0
5,2026-04-22 15:42:50,40.0,0.233071,0.23712,9.94e-05,0.550666,0.669631,0.980544,0.943917,0.987609,0.713303,0.863797,0.074898,0.993757,0.822454,0.926495,0.090664,0.994816,0.881586,0.910778,0.09455,0.992708,0.79351,0.943917,0.10117,0.992325,0.694024,0.940722,0.374147,1
6,2026-04-22 15:43:31,39.9,0.219772,0.219721,9.91e-05,0.574608,0.655318,0.981081,0.944074,0.987077,0.776742,0.870062,0.07702,0.993488,0.872007,0.930328,0.094981,0.997163,0.86259,0.917452,0.093967,0.98985,0.888687,0.944074,0.109512,0.992331,0.747083,0.940514,0.278357,1
7,2026-04-22 15:44:11,40.0,0.208612,0.214153,9.88e-05,0.570597,0.760528,0.982962,0.921877,0.988672,0.780653,0.879341,0.051797,0.994296,0.87424,0.935547,0.065312,0.993893,0.840078,0.950106,0.094123,0.994705,0.919787,0.921877,0.065506,0.993297,0.740322,0.946537,0.594724,0
8,2026-04-22 15:44:51,40.0,0.196076,0.207345,9.84e-05,0.584219,0.668448,0.982704,0.921393,0.989143,0.775455,0.877132,0.100071,0.994534,0.870631,0.934225,0.121775,0.995094,0.826713,0.948113,0.137984,0.993981,0.928619,0.921393,0.111723,0.993706,0.730505,0.944122,0.330716,1
9,2026-04-22 15:45:32,40.0,0.192638,0.200042,9.80e-05,0.587477,0.790241,0.984106,0.943173,0.989527,0.785157,0.887621,0.089652,0.994729,0.876674,0.940157,0.109984,0.996234,0.858998,0.937604,0.140363,0.993235,0.903151,0.943173,0.09455,0.994028,0.748236,0.949192,0.673294,1
10,2026-04-22 15:46:13,39.9,0.186921,0.197748,9.76e-05,0.585272,0.781134,0.983843,0.928764,0.98925,0.781738,0.883679,0.090399,0.994588,0.873658,0.937926,0.110747,0.99314,0.880794,0.947873,0.141552,0.996046,0.877372,0.928764,0.095238,0.994071,0.749392,0.950717,0.643295,0
11,2026-04-22 15:46:53,39.9,0.183036,0.191059,9.71e-05,0.592741,0.800879,0.985068,0.937694,0.990435,0.796661,0.89272,0.088842,0.995188,0.884917,0.943115,0.104725,0.9957,0.862378,0.949018,0.133091,0.994683,0.915529,0.937694,0.097753,0.994575,0.754744,0.949935,0.697958,1
12,2026-04-22 15:47:33,39.9,0.184027,0.196201,9.65e-05,0.590899,0.738523,0.984669,0.941538,0.990468,0.798113,0.891368,0.083218,0.995204,0.885199,0.942303,0.107677,0.995355,0.888818,0.943562,0.119612,0.99506,0.888309,0.941538,0.104166,0.994668,0.767673,0.949962,0.497934,0
13,2026-04-22 15:48:13,40.0,0.182804,0.1865,9.59e-05,0.596147,0.805359,0.985422,0.951523,0.990568,0.794523,0.89615,0.097768,0.995255,0.883061,0.945029,0.114721,0.995943,0.900087,0.938966,0.123126,0.994575,0.873033,0.951523,0.115485,0.994687,0.762764,0.951817,0.701496,1
14,2026-04-22 15:48:54,39.9,0.176765,0.184854,9.53e-05,0.598703,0.799265,0.985224,0.930908,0.99059,0.801456,0.893289,0.101363,0.995266,0.888049,0.943452,0.122519,0.994973,0.858117,0.956837,0.140857,0.995564,0.926754,0.930908,0.110779,0.994778,0.763805,0.950978,0.683011,1
15,2026-04-22 15:49:35,40.0,0.169323,0.180877,9.46e-05,0.602485,0.812437,0.985868,0.940411,0.991171,0.802946,0.898838,0.105672,0.995559,0.888838,0.946543,0.124197,0.9959,0.866123,0.953167,0.146327,0.995225,0.919905,0.940411,0.110314,0.994934,0.765975,0.951951,0.719386,1
16,2026-04-22 15:50:15,40.0,0.174543,0.17924,9.39e-05,0.606515,0.812467,0.985716,0.938239,0.991262,0.80216,0.897821,0.119564,0.995606,0.888344,0.945979,0.136767,0.996051,0.862148,0.954351,0.144576,0.995167,0.924127,0.938239,0.130548,0.995051,0.761932,0.951576,0.723894,1
17,2026-04-22 15:50:56,39.8,0.163196,0.18028,9.31e-05,0.601708,0.779907,0.985892,0.950634,0.991564,0.790772,0.898418,0.115934,0.995758,0.880505,0.946281,0.134232,0.996161,0.898016,0.942475,0.146296,0.995361,0.87245,0.950634,0.127059,0.995218,0.762064,0.95163,0.626027,0
18,2026-04-22 15:51:36,39.7,0.166423,0.172625,9.23e-05,0.611407,0.786057,0.986809,0.954783,0.991596,0.810096,0.904619,0.119507,0.995774,0.893115,0.949754,0.136562,0.996737,0.895923,0.94524,0.144324,0.994819,0.897105,0.954783,0.132562,0.995207,0.775649,0.954701,0.62782,1
19,2026-04-22 15:52:16,39.8,0.163516,0.179142,9.14e-05,0.59427,0.838921,0.985564,0.951463,0.99129,0.770652,0.894727,0.11743,0.995619,0.864139,0.944153,0.134214,0.995228,0.915954,0.937551,0.142503,0.996017,0.832489,0.951463,0.143611,0.995269,0.744708,0.950402,0.821652,0
20,2026-04-22 15:52:56,39.8,0.168869,0.184431,9.05e-05,0.595972,0.803569,0.986205,0.938713,0.991437,0.811153,0.899984,0.076779,0.995694,0.893958,0.947158,0.088027,0.995383,0.874746,0.956254,0.125863,0.996011,0.920028,0.938713,0.078898,0.995173,0.773011,0.952792,0.684905,0
21,2026-04-22 15:53:36,39.8,0.165487,0.177619,8.96e-05,0.608254,0.706979,0.986585,0.946556,0.991634,0.816534,0.903951,0.104279,0.995794,0.897692,0.949414,0.124644,0.996622,0.875757,0.952746,0.139993,0.994973,0.926748,0.946556,0.130704,0.994941,0.778745,0.953436,0.388755,0
22,2026-04-22 15:54:15,39.8,0.165488,0.175573,8.86e-05,0.603327,0.767087,0.986382,0.948288,0.991943,0.800098,0.901798,0.108083,0.995949,0.886606,0.948191,0.127011,0.996585,0.882645,0.948677,0.141065,0.995321,0.900326,0.948288,0.122959,0.995414,0.765247,0.952332,0.583681,0
23,2026-04-22 15:54:55,39.7,0.162482,0.178862,8.76e-05,0.600146,0.751263,0.985812,0.933608,0.991952,0.802466,0.897629,0.100343,0.995954,0.888609,0.945856,0.12071,0.996134,0.855928,0.958996,0.114071,0.99578,0.931342,0.933608,0.128865,0.99546,0.759027,0.950092,0.544671,0
24,2026-04-22 15:55:35,39.8,0.15932,0.171538,8.66e-05,0.609646,0.807834,0.987109,0.948128,0.992237,0.816725,0.906627,0.105587,0.996098,0.897699,0.950868,0.12569,0.996648,0.885146,0.954042,0.137031,0.995555,0.916091,0.948128,0.120505,0.995555,0.7825,0.955106,0.685897,0
25,2026-04-22 15:56:15,39.7,0.156183,0.16892,8.55e-05,0.608388,0.849048,0.98718,0.95455,0.992161,0.812327,0.907196,0.105641,0.99606,0.894889,0.951183,0.124598,0.9973,0.883231,0.948268,0.149593,0.994829,0.913283,0.95455,0.110504,0.995448,0.777191,0.954913,0.815039,0
26,2026-04-22 15:56:54,39.7,0.151168,0.168835,8.44e-05,0.605696,0.823354,0.986855,0.948644,0.992224,0.80107,0.90412,0.111898,0.996091,0.886429,0.949442,0.129214,0.996866,0.875702,0.950803,0.146937,0.995324,0.908799,0.948644,0.132367,0.995602,0.765207,0.953068,0.751788,0
