epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
1,2026-04-22 15:03:32,20.8,0.731483,0.593177,1.00e-04,0.331807,0.30419,0.888967,0.917116,0.886101,0.314006,0.681092,0.000322,0.939406,0.473492,0.809859,0.000642,0.997174,0.35308,0.725535,0.000357,0.888279,0.745125,0.917116,0.037031,0.555858,0.17406,0.736066,0.002444,1
2,2026-04-22 15:03:52,20.6,0.510975,0.44131,9.99e-05,0.448046,0.393644,0.952,0.912567,0.956648,0.581432,0.762476,0.000232,0.977798,0.732339,0.864925,0.000461,0.99698,0.616931,0.8229,0.000458,0.959396,0.912875,0.912567,0.000466,0.870723,0.314285,0.863489,0.003157,1
3,2026-04-22 15:04:14,21.1,0.397557,0.355685,9.98e-05,0.513717,0.542339,0.972135,0.932169,0.977242,0.715523,0.821613,0.004015,0.988469,0.831083,0.901754,0.007293,0.994532,0.813407,0.873858,0.015508,0.982495,0.857402,0.932169,0.004805,0.972919,0.685872,0.919628,0.021517,1
4,2026-04-22 15:04:36,21.0,0.322036,0.303615,9.96e-05,0.530465,0.550455,0.977106,0.927892,0.982037,0.74421,0.847043,0.000141,0.990923,0.850539,0.916903,0.00028,0.993689,0.83198,0.906655,0.00129,0.988182,0.880547,0.927892,0.000157,0.983606,0.716015,0.934094,0.001258,1
5,2026-04-22 15:04:58,21.0,0.277324,0.266947,9.94e-05,0.534499,0.590147,0.978487,0.903124,0.984135,0.752318,0.851178,0.0,0.991993,0.856285,0.919349,0.0,0.992911,0.788863,0.936788,0.0,0.991082,0.94527,0.903124,0.0,0.986577,0.706949,0.934461,0.129032,1
6,2026-04-22 15:05:20,20.6,0.24595,0.249585,9.91e-05,0.552255,0.654655,0.981185,0.92113,0.98631,0.766512,0.867166,0.023088,0.993098,0.865061,0.928537,0.028128,0.992692,0.848504,0.936508,0.048845,0.993508,0.891204,0.92113,0.027437,0.989122,0.741448,0.943802,0.278715,1
7,2026-04-22 15:05:41,20.4,0.216373,0.250372,9.88e-05,0.534899,0.679462,0.979948,0.900903,0.986828,0.740263,0.86395,0.000484,0.993361,0.84525,0.926739,0.000958,0.991789,0.815792,0.954816,0.032695,0.994944,0.89813,0.900903,0.004799,0.989843,0.707366,0.941154,0.389864,0
8,2026-04-22 15:06:02,20.3,0.211138,0.237172,9.84e-05,0.564783,0.775775,0.98237,0.958676,0.987514,0.768994,0.877504,0.047852,0.993709,0.865904,0.934468,0.066185,0.997305,0.878992,0.911937,0.090748,0.99015,0.861393,0.958676,0.061207,0.990225,0.746601,0.946461,0.634262,1
9,2026-04-22 15:06:24,20.6,0.198304,0.239127,9.80e-05,0.554901,0.646425,0.977402,0.950557,0.981248,0.784194,0.848086,0.032422,0.990523,0.876589,0.917306,0.044373,0.997676,0.846711,0.886982,0.057941,0.983489,0.9157,0.950557,0.047587,0.962484,0.755827,0.915966,0.267481,0
10,2026-04-22 15:06:44,20.6,0.18441,0.220009,9.76e-05,0.569935,0.828771,0.984489,0.944004,0.990141,0.781767,0.890159,0.037879,0.99504,0.874895,0.941575,0.048251,0.996964,0.844198,0.939664,0.065248,0.993129,0.916333,0.944004,0.049037,0.993342,0.749622,0.950297,0.786393,1
11,2026-04-22 15:07:06,20.5,0.198493,0.222442,9.71e-05,0.557253,0.80599,0.983616,0.940811,0.989512,0.752313,0.884201,0.035247,0.994721,0.853562,0.938151,0.043291,0.992595,0.918424,0.936267,0.091322,0.996864,0.80643,0.940811,0.035824,0.993287,0.734785,0.948475,0.734709,0
